Sample_ID,Sham10W,HS10W
hs10w-1,,2.2
hs10w-2,,2.2
hs10w-3,,2.2
hs10w-4,,1.7000000000000002
hs10w-5,,2.7
hs10w-6,,2.7
sham-1(10w),0.0,
sham-2(10w),0.0,
sham-3(10w),0.0,
