Sample,AP,AP-GiExo,Sham
AP-1_Stool,73.16666666666667,,
AP-2_Stool,70.0,,
AP-3_Stool,79.64285714285714,,
AP-4_Stool,73.0,,
AP-5_Stool,78.75,,
AP-6_Stool,63.5,,
AP-GiExo-1_Stool,,60.5,
AP-GiExo-2_Stool,,111.01666666666667,
AP-GiExo-3_Stool,,88.5,
AP-GiExo-4_Stool,,85.0,
AP-GiExo-5_Stool,,80.0,
AP-GiExo-6_Stool,,75.0,
Sham-1_Stool,,,79.6
Sham-2_Stool,,,86.1
Sham-3_Stool,,,75.25
Sham-4_Stool,,,90.66666666666667
Sham-5_Stool,,,84.1
Sham-6_Stool,,,72.16666666666667
