Sample,AP,AP-GiExo,Sham
AP-1_Stool,73.0,,
AP-2_Stool,66.0,,
AP-3_Stool,79.0,,
AP-4_Stool,71.0,,
AP-5_Stool,78.0,,
AP-6_Stool,62.0,,
AP-GiExo-1_Stool,,60.0,
AP-GiExo-2_Stool,,111.0,
AP-GiExo-3_Stool,,88.0,
AP-GiExo-4_Stool,,84.0,
AP-GiExo-5_Stool,,78.0,
AP-GiExo-6_Stool,,75.0,
Sham-1_Stool,,,78.0
Sham-2_Stool,,,86.0
Sham-3_Stool,,,75.0
Sham-4_Stool,,,88.0
Sham-5_Stool,,,84.0
Sham-6_Stool,,,72.0
