Group,GBM_mean,GBM_std,FP_mean,FP_std,count
Sham-L,165.355,8.878037508368617,1.745,0.9425444286610579,6
U3G-L,242.0,24.487617278943244,21.662,4.5539620112600865,5
UUO-L,441.35090909090906,51.00129752360139,83.79363636363637,5.983932273559372,11
