SampleID,Sham10W,SS10W,HFD10W,HS10W
HFD10W-1,,,36.21,
HFD10W-2,,,45.06,
HFD10W-3,,,41.43,
HFD10W-4,,,50.34,
HFD10W-5,,,51.97,
HFD10W-6,,,50.34,
HS10W-1,,,,25.99
HS10W-2,,,,26.47
HS10W-3,,,,24.62
HS10W-4,,,,24.56
HS10W-5,,,,25.53
HS10W-6,,,,25.92
SS10W-1,,26.72,,
SS10W-2,,25.7,,
SS10W-3,,30.37,,
SS10W-4,,24.2,,
SS10W-5,,26.66,,
SS10W-6,,28.7,,
Sham(10W)-4,29.04,,,
Sham(10W)-5,31.33,,,
Sham(10W)-6,29.38,,,
