Species,Sham10W,SS10W,HFD10W,HS10W,HS10WGaE9,HS10WGaE10
UBA7173 sp900540205,0.006766134628730048,0.03372224149895905,0.01760207032153597,0.061068702290076333,0.04233171408743928,0.036034004163775155
Lepagella sp900547755,0.007922738838769372,0.0060794008790192,0.01977793199167245,0.053579690030071715,0.02631852879944483,0.02447085357390701
Lawsonibacter unclassified,0.0,0.0,0.0,0.0,2.6023594725884803e-05,0.0
Bacteroides_H_857956 acidifaciens,0.07163717325931067,0.10582205644228544,0.07553348369188063,0.101029377746935,0.10334836918806385,0.06518910478834143
Acetatifactor sp011959105,0.002399953735831598,0.0045902729585935685,0.005009541984732824,0.03563786722183669,0.02085357390700902,0.03666724496877169
Kineothrix sp000403275,0.02405736756881795,0.02560432569974555,0.11943384223918578,0.10785334258616701,0.11103400416377515,0.16784351145038168
Duncaniella muricolitica,0.05751214434420541,0.03367164006476984,0.000520471894517696,9.397409206569512e-05,0.0,0.0
Muribaculum gordoncarteri,0.03215359703909323,0.005544471431876012,0.0005783021050196623,0.001012028683784409,0.005204718945176961,0.0008674531575294936
