Group,BodyWeight (g),BIT,SGOT,SGPT,BUN,CRE,AC,TG,CHOL,HDL,LDL
HFD10W,45.89166666666667,0.10000000000000002,128.33333333333334,75.66666666666667,28.516666666666666,0.215,621.1666666666666,62.166666666666664,125.33333333333333,86.56666666666666,7.333333333333333
HS10W,25.515,0.26666666666666666,162.16666666666666,88.0,27.933333333333334,0.12,688.1666666666666,456.0,189.16666666666666,113.86666666666667,6.5
HS10WGaE10,24.386000000000003,0.12000000000000002,359.0,198.0,20.68,0.13,637.2,189.6,147.8,96.17999999999999,6.0
HS10WGaE9,23.908,0.08,720.2,482.6,25.72,0.256,715.0,78.8,119.0,82.12,3.4
HS2W,22.508000000000003,0.425,249.5,134.25,20.6,0.18,705.25,711.5,207.0,103.0,16.5
HS6W,26.045,0.16166666666666668,140.16666666666666,61.666666666666664,23.383333333333336,0.26833333333333337,777.0,301.5,147.5,94.25,8.666666666666666
SS10W,27.058333333333334,0.10000000000000002,67.83333333333333,45.5,35.11666666666667,0.265,656.3333333333334,169.33333333333334,65.66666666666667,49.71666666666667,1.8333333333333333
Sham,28.493333333333336,0.13333333333333333,130.0,54.333333333333336,33.333333333333336,0.18000000000000002,279.0,96.0,58.0,46.9,2.3333333333333335
Sham10W,29.916666666666668,0.10000000000000002,70.33333333333333,21.666666666666668,35.96666666666667,0.1466666666666667,355.6666666666667,150.33333333333334,69.0,54.56666666666666,2.3333333333333335
