Sample_ID,Sham10W,HS10W,HS10WGaE9,HS10WGaE10
hs10w-1,,2.2,,
hs10w-2,,2.2,,
hs10w-3,,2.2,,
hs10w-4,,1.7000000000000002,,
hs10w-5,,2.7,,
hs10w-6,,2.7,,
hs10wgae10-1,,,,1.0
hs10wgae10-2,,,,0.0
hs10wgae10-3,,,,0.5
hs10wgae10-4,,,,0.5
hs10wgae10-5,,,,0.0
hs10wgae9-1,,,0.7,
hs10wgae9-2,,,1.7,
hs10wgae9-3,,,1.2,
hs10wgae9-4,,,1.7,
hs10wgae9-5,,,1.7,
sham-1(10w),0.0,,,
sham-2(10w),0.0,,,
sham-3(10w),0.0,,,
