SampleID,Sham10W,HS10W,HS10WGaE9,HS10WGaE10
HS10W-1,,25.99,,
HS10W-2,,26.47,,
HS10W-3,,24.62,,
HS10W-4,,24.56,,
HS10W-5,,25.53,,
HS10W-6,,25.92,,
HS10WGaE10-1,,,,21.36
HS10WGaE10-2,,,,21.67
HS10WGaE10-3,,,,27.02
HS10WGaE10-4,,,,23.51
HS10WGaE10-5,,,,28.37
HS10WGaE9-1,,,24.62,
HS10WGaE9-2,,,20.12,
HS10WGaE9-3,,,24.32,
HS10WGaE9-4,,,24.52,
HS10WGaE9-5,,,25.96,
Sham(10W)-4,29.04,,,
Sham(10W)-5,31.33,,,
Sham(10W)-6,29.38,,,
