Sample_ID,Sham10W,HS10W,HS10WGaE9,HS10WGaE10
hs10w-1,,3.3,,
hs10w-2,,3.3,,
hs10w-3,,3.8,,
hs10w-4,,3.3,,
hs10w-5,,4.0,,
hs10w-6,,4.0,,
hs10wgae10-1,,,,2.3
hs10wgae10-2,,,,1.8
hs10wgae10-3,,,,1.8
hs10wgae10-4,,,,1.3
hs10wgae10-5,,,,2.3
hs10wgae9-1,,,2.8,
hs10wgae9-2,,,2.3,
hs10wgae9-3,,,2.8,
hs10wgae9-4,,,2.8,
hs10wgae9-5,,,2.8,
sham-1(10w),1.0,,,
sham-2(10w),0.0,,,
sham-3(10w),0.0,,,
