SampleID,Sham,HS2W
HS2W-1,,
HS2W-2,,698.0
HS2W-3,,875.0
HS2W-4,,376.0
HS2W-5,,897.0
Sham-1,148.0,
Sham-2,53.0,
Sham-3,87.0,
