SampleID,Sham,HS2W
HS2W-1,,
HS2W-2,,640.0
HS2W-3,,767.0
HS2W-4,,740.0
HS2W-5,,674.0
Sham-1,268.0,
Sham-2,284.0,
Sham-3,285.0,
