Phylum,Genus,Species,Mean_Sham10W,Mean_HS10W,Log2FC(HS10W/Sham10W),P_value
Bacillota_I,Faecalibaculum,Faecalibaculum rodentium,0.0,0.010149201943095073,23.27486309554353,0.01343299708269124
Bacillota_I,Dubosiella,Dubosiella sp000403415,0.0005638445523941707,0.004431239879713163,2.9743388117292944,0.014209341572071434
Bacteroidota,Bacteroides_H_857956,Bacteroides_H_857956 thetaiotaomicron,0.021483923201480456,0.0009108258154059682,-4.559936960250101,0.015095460235574804
Bacteroidota,Paramuribaculum,Paramuribaculum intestinale,0.002255378209576683,0.05819164931760351,4.689370234150581,0.015988803714580363
Bacillota_B_370539,Peptococcus,Peptococcus niger,0.0008963682627804766,0.004062572287763127,2.180228755464316,0.016565510369680278
Bacillota_A_368345,COE1,COE1 sp000403215,0.0011855193152903076,0.00018794818413139024,-2.65710582740233,0.01719274680101425
Bacteroidota,Parabacteroides_B_862066,Parabacteroides_B_862066 goldsteinii,0.0017782789729354615,0.015852706453851492,3.156174871053568,0.0175679615913228
Bacillota_A_368345,Merdimmobilis,unclassified,0.002125260235947259,0.0007156488549618321,-1.570314387664314,0.019440768431265045
Bacteroidota,Lepagella,Lepagella muris_A,0.017724959518852647,0.04259195003469813,1.2647984038241336,0.020129480121673135
Bacillota_A_368345,Acetatifactor,Acetatifactor sp011959105,0.002399953735831598,0.03563786722183669,3.892331939266034,0.02105250629344243
Bacillota_A_368345,Lawsonibacter,unclassified,0.009035970390932223,0.00208911635438353,-2.1127861661335734,0.023194106545533104
Bacillota_A_368345,Angelakisella,Angelakisella massiliensis,0.008674531575294934,0.01309854267869535,0.5945484933781204,0.02590439998194139
Bacillota_A_368345,Acutalibacter,Acutalibacter timonensis,0.0017349063150589865,0.0,-20.726427160268056,0.03722432437371806
Bacteroidota,JAGBWK01,unclassified,0.0005638445523941707,0.002175861670136479,1.9482155622698127,0.04115182925703149
Bacillota_I,Lactobacillus,Lactobacillus johnsonii,0.0005060143418922045,0.0018361091834374276,1.8593996044695293,0.043045751501919145
Bacillota_A_368345,Dysosmobacter,Dysosmobacter sp000403435,0.025054938699976867,0.010076914179967615,-1.31404100770468,0.043723590134561834
Bacillota_A_368345,Anaerotignum_189125,unclassified,0.0016770761045570206,0.004886652787416146,1.5428978761423568,0.04482792750533803
Bacillota_B_370539,unclassified,unclassified,0.005609530418690725,0.003021628498727735,-0.8925534898365934,0.04691498979435951
Bacillota_A_368345,Lawsonibacter,Lawsonibacter sp000492175,0.00306500115660421,0.0083058639833449,1.4382423310792707,0.05291131179822284
Bacillota_A_368345,Porcipelethomonas,Porcipelethomonas ammoniilytica,0.004510756419153366,0.0,-22.104938271786963,0.05635218659338839
Bacillota_A_368345,unclassified,unclassified,0.006650474207726117,0.003354152209114041,-0.9875088426258899,0.058773087338144514
Bacillota_A_368345,Petralouisia,unclassified,0.002443326393708073,0.00618060374739764,1.3389008164506788,0.06665501271331309
Bacillota_A_368345,Anaerotruncus,Anaerotruncus sp000403395,0.0013445523941707147,0.0029204256303492944,1.1190520926529126,0.06815498308098536
Bacillota_A_368345,Catonella,Catonella morbi,0.002544529262086514,0.0,-21.278967918706694,0.07234539213645175
Bacillota_A_368345,Dysosmobacter,unclassified,0.010713046495489244,0.004344494563960213,-1.3021083541874816,0.07346678759603668
Bacteroidota,CAG-873,CAG-873 sp011959565,0.018216516308119362,0.03065724034235484,0.7509807170709376,0.07355617937105458
Verrucomicrobiota,Akkermansia,Akkermansia muciniphila_D_776786,0.002558986814712006,0.0009903423548461715,-1.3695725741350253,0.07377091836004603
Bacillota_A_368345,CAG-314,unclassified,0.0032529493407355997,0.01767435808466343,2.44183719674538,0.07835364821409373
Bacillota_A_368345,unclassified,unclassified,0.0063613231552162855,0.00273970622253065,-1.2153053755578105,0.1084672885040696
Bacillota_A_368345,TWA4,TWA4 sp000875945,0.002645732130464955,0.0,-21.33523611666572,0.11692922624133426
Bacillota_A_368345,COE1,COE1 sp000403335,0.001893939393939394,0.0002457783946333564,-2.9459550521400337,0.12217760138246238
Bacteroidota,unclassified,unclassified,0.08992597733055747,0.13676121906083738,0.6048493433188659,0.12350738316247001
Bacillota_A_368345,unclassified,unclassified,0.014125028915105252,0.027353689567430024,0.9534815719757661,0.12468902172491846
Bacillota_A_368345,Limivicinus,Limivicinus sp002320035,0.000491556789266713,0.0011782905389775618,1.2612636024289983,0.12954486942999566
Bacteroidota,Bacteroides_H_857956,Bacteroides_H_857956 acidifaciens,0.07163717325931067,0.101029377746935,0.49599454498394846,0.13444117842998013
Bacillota_A_368345,Laedolimicola,Laedolimicola sp011959465,0.0006072172102706454,0.0013806962757344438,1.1851100742499185,0.17729789618744324
Bacillota_A_368345,Eubacterium_J,Eubacterium_J plexicaudatum,0.0020385149201943096,0.00043372657876474663,-2.2326581382349064,0.17813745861755997
unclassified,unclassified,unclassified,0.000130117973629424,0.002125260235947259,4.029736934676391,0.20468860590178364
Bacillota_A_368345,Petralouisia,Petralouisia sp000403315,0.0012288919731667824,0.0005349294471431876,-1.1999360475092473,0.2173013656701337
Bacillota_A_368345,Paludihabitans,Paludihabitans psychrotolerans,0.0006072172102706454,0.0020168285912560723,1.731802228468108,0.23194870008931523
Bacillota_A_368345,Enterenecus,Enterenecus sp004560375,0.011855193152903077,0.017385207032153596,0.5523410404429335,0.2712559660014409
Bacillota_I,Ligilactobacillus,unclassified,0.0005349294471431876,0.0012505783021050196,1.2251733186502456,0.3192000453693523
Bacillota_A_368345,Acutalibacter,Acutalibacter muris,0.0020385149201943096,0.0012794934073560027,-0.671945382482962,0.3879966771282718
Bacteroidota,Duncaniella,Duncaniella muris,0.0032240342354846172,0.004207147814018043,0.38397533842193005,0.4758220588044094
Deferribacterota,Mucispirillum,Mucispirillum schaedleri,0.005089058524173028,0.003708362248438584,-0.4566164974815177,0.5380822102664744
Bacteroidota,UBA3263,UBA3263 sp001689615,0.005927596576451539,0.009599814943326394,0.6955592387389495,0.6198569227490157
Bacillota_A_368345,Lawsonibacter,Lawsonibacter sp000177015,0.014023826046726811,0.01672738838769373,0.2543321954059099,0.6248059845298061
Bacillota_A_368345,Evtepia,unclassified,0.006549271339347675,0.006354094378903539,-0.0436478781364511,0.909775858776518
Bacillota_A_368345,Otoolea_134526,unclassified,0.0014602128151746472,0.0014602128151746472,0.0,1.0
