Phylum,Genus,Species,Mean_12W,Mean_20W,Log2FC(20W/12W),P_value
Bacillota_A_368345,Enterenecus,Enterenecus sp004560375,0.005334836918806384,0.011855193152903077,1.1520029447090763,0.104556534885215
Bacillota_A_368345,Dysosmobacter,Dysosmobacter sp000403435,0.006144459865833912,0.025054938699976867,2.0277367309203154,0.10776665871828471
Bacillota_A_368345,Emergencia,Emergencia timonensis,0.0013590099467962063,0.00017349063150589867,-2.9696190968638256,0.11445765515204878
Bacillota_A_368345,COE1,COE1 sp000403335,0.02506939625260236,0.001893939393939394,-3.7264644774896603,0.12250934402841603
Bacteroidota,Bacteroides_H_857956,Bacteroides_H_857956 thetaiotaomicron,0.002313208420078649,0.021483923201480456,3.2152897491266095,0.1237718884375052
Bacillota_A_368345,CAG-269,unclassified,0.0021252602359472586,0.0006650474207726117,-1.6761088983014685,0.12404805071223424
Bacillota_A_368345,Borkfalkia,unclassified,0.006954082812861438,0.023970622253065,1.7853350604515408,0.13072368476672214
Bacillota_A_368345,Ventrisoma,Ventrisoma faecale,0.0013590099467962063,0.0029637982882257693,1.1248906730224766,0.13136565030183794
Bacillota_A_368345,Suilimivivens,Suilimivivens sp009917455,0.004134860050890586,0.016958709229701597,2.036115697410952,0.14526095080504942
Bacillota_A_368345,Butyribacter,unclassified,0.008862479759426325,0.0007373351839000693,-3.587316127873507,0.14686517148586475
Bacillota_A_368345,Dysosmobacter,unclassified,0.0027903076567198704,0.010713046495489244,1.9408723126669702,0.15297111914654885
Patescibacteria,Nanosyncoccus,Nanosyncoccus sp003979185,0.020124913254684247,0.005089058524173028,-1.9835116654089004,0.16048858590400394
Bacteroidota,Lepagella,Lepagella sp900547755,0.009787763127457785,0.007922738838769372,-0.30497990591681023,0.17280845968830805
Bacillota_A_368345,CAG-475,CAG-475 sp900548005,0.0010264862364099006,0.002775850104094379,1.4352144954785084,0.18947252611136658
Bacillota_A_368345,Hominisplanchenecus_A,Hominisplanchenecus_A murintestinalis,0.0015469581309275969,7.228776312745779e-05,-4.4195198665866275,0.19171812430219926
Bacillota_A_368345,CAG-269,CAG-269 sp000431335,0.008023941707147814,0.003556557945870923,-1.1738292300534479,0.21317677105920804
Bacillota_A_368345,unclassified,unclassified,0.0029493407356002773,0.0020095998149433267,-0.5534840405049078,0.2380621546526779
Bacillota_A_368345,CAG-314,unclassified,0.0018071940781864448,0.0032529493407355997,0.8479965517521492,0.2581713872689294
Bacteroidota,Muribaculum,Muribaculum gordoncarteri,0.022047767753874625,0.03215359703909323,0.5443475248197802,0.28290420598527083
Bacillota_A_368345,Kineothrix,Kineothrix sp000403275,0.017161114966458477,0.02405736756881795,0.48733547440046016,0.2911276204318735
Bacillota_A_368345,Porcipelethomonas,Porcipelethomonas ammoniilytica,0.0009397409206569513,0.004510756419153366,2.263033190463882,0.3057843383065187
Bacillota_A_368345,TWA4,TWA4 sp000875945,0.0,0.002645732130464955,21.335236116665723,0.3067830487291572
Bacillota_A_368345,G11,unclassified,0.007503469812630119,0.0,-22.839126653718612,0.3103344323792149
Bacteroidota,Parabacteroides_B_862066,Parabacteroides_B_862066 goldsteinii,0.0005927596576451539,0.0017782789729354615,1.5849608781484994,0.31528626810170574
Campylobacterota_A,Helicobacter_C,Helicobacter_C hepaticus,0.009715475364330326,0.0057251908396946565,-0.7629606992029705,0.3338223359400774
Bacillota_A_368345,UMGS1071,UMGS1071 sp900548305,0.006737219523479066,0.0001590330788804071,-5.40474566851712,0.3468717096669505
Bacteroidota,Prevotella,unclassified,0.008226347443904694,0.003021628498727736,-1.4449254081445617,0.3635377149166239
Bacillota_B_370539,unclassified,unclassified,0.003498727735368957,0.005609530418690725,0.6810494497505152,0.40642688112780373
Bacteroidota,Duncaniella,unclassified,0.02358026833217673,0.02908859588248901,0.3028735115079294,0.41898638358142093
Bacillota_A_368345,Catonella,Catonella morbi,0.0008674531575294935,0.002544529262086514,1.5525399268699338,0.42539203186886265
Desulfobacterota_G_459543,Desulfovibrio_446353,Desulfovibrio sp011039135,0.0008529956049040018,0.0016192458940550542,0.9247110723360792,0.45142329855546504
Bacillota_A_368345,Sporofaciens,Sporofaciens musculi,0.0012578070784177657,0.0018071940781864448,0.5228404401279327,0.457240819262692
Bacillota_A_368345,unclassified,unclassified,0.0017638214203099698,0.0012578070784177654,-0.48779351265921234,0.47184205756631864
Bacillota_A_368345,Acutalibacter,Acutalibacter muris,0.0012578070784177652,0.0020385149201943096,0.6966074172766991,0.4751166174573318
Pseudomonadota,Parasutterella_564865,unclassified,0.010091371732593106,0.006245662734212352,-0.6921956360179131,0.5008459301805633
Bacillota_A_368345,unclassified,unclassified,0.010828706916493175,0.014125028915105252,0.38339281241838413,0.5107174651621764
