Functional_Category,count,sum,mean
Other,559,9008.902630111048,16.116104883919586
Antioxidant,34,584.3141051582977,17.18570897524405
Transport,30,327.64028074679266,10.921342691559754
Anti-stress/HSP,8,279.8721026021948,34.98401282527435
Protein Synthesis,21,244.08366793746782,11.623031806546086
Lipid Metabolism,12,98.34932993391558,8.195777494492965
"Anti-stress/HSP, Protein Synthesis",1,15.662650021527938,15.662650021527938
Defense/Immunity,1,6.958592164627281,6.958592164627281
"Anti-stress/HSP, Transport",1,6.662724296959104,6.662724296959104
