Sham-10W,SS10W,HFD10W,HS10W,HS10WGaE9,HS10WGaE10
6237.3,8643.2,12515.0,11721.9,9876.5,8296.5
5777.5,8190.2,12408.0,11887.3,8725.7,7590.5
6005.6,7392.5,13859.3,11036.5,9765.3,8433.3
6317.8,8055.9,13043.0,11470.2,9304.1,7412.0
6112.9,7801.5,12043.5,9879.4,8907.4,7862.1
5884.5,8255.7,13350.7,10987.8,9484.8,8047.1
