Sample_ID,Sham,HS10W
hs10w-1,,3.3
hs10w-2,,3.3
hs10w-3,,3.8
hs10w-4,,3.3
hs10w-5,,4.0
hs10w-6,,4.0
sham-1,0.5,
sham-2,0.0,
sham-3,0.5,
