,Sham10W,HFD10W,HS10W
3,120.0,,
4,180.0,,
5,151.0,,
17,,,541.0
18,,,288.0
19,,,556.0
20,,,536.0
21,,,643.0
22,,,172.0
29,,52.0,
30,,76.0,
31,,85.0,
32,,66.0,
33,,41.0,
34,,53.0,
