,Sham10W,HFD10W,HS10W
3,324.0,,
4,375.0,,
5,368.0,,
17,,,630.0
18,,,562.0
19,,,702.0
20,,,756.0
21,,,773.0
22,,,706.0
29,,489.0,
30,,617.0,
31,,652.0,
32,,618.0,
33,,673.0,
34,,678.0,
