,Sham,HS2W,HS6W,HS10W
0,148.0,,,
1,53.0,,,
2,87.0,,,
6,,,,
7,,698.0,,
8,,875.0,,
9,,376.0,,
10,,897.0,,
11,,,446.0,
12,,,175.0,
13,,,620.0,
14,,,183.0,
15,,,132.0,
16,,,253.0,
17,,,,541.0
18,,,,288.0
19,,,,556.0
20,,,,536.0
21,,,,643.0
22,,,,172.0
