,Sham,HS2W,HS6W,HS10W
0,268.0,,,
1,284.0,,,
2,285.0,,,
6,,,,
7,,640.0,,
8,,767.0,,
9,,740.0,,
10,,674.0,,
11,,,682.0,
12,,,758.0,
13,,,767.0,
14,,,764.0,
15,,,520.0,
16,,,1171.0,
17,,,,630.0
18,,,,562.0
19,,,,702.0
20,,,,756.0
21,,,,773.0
22,,,,706.0
