,Sham,HS2W,HS6W,HS10W
0,36.0,,,
1,31.2,,,
2,32.8,,,
6,,,,
7,,20.0,,
8,,20.8,,
9,,19.6,,
10,,22.0,,
11,,,23.2,
12,,,26.4,
13,,,26.3,
14,,,22.9,
15,,,20.3,
16,,,21.2,
17,,,,28.8
18,,,,27.9
19,,,,28.0
20,,,,25.1
21,,,,28.2
22,,,,29.6
