,Sham10W,HFD10W,HS10W
3,33.8,,
4,39.9,,
5,34.2,,
17,,,28.8
18,,,27.9
19,,,28.0
20,,,25.1
21,,,28.2
22,,,29.6
29,,29.2,
30,,27.6,
31,,28.1,
32,,28.8,
33,,30.4,
34,,27.0,
