,HS10W,HS10WGaE9,HS10WGaE10
17,541.0,,
18,288.0,,
19,556.0,,
20,536.0,,
21,643.0,,
22,172.0,,
35,,56.0,
36,,50.0,
37,,137.0,
38,,58.0,
39,,93.0,
40,,,329.0
41,,,186.0
42,,,125.0
43,,,134.0
44,,,174.0
