,Sham10W,HFD10W,HS10W
3,29.04,,
4,31.33,,
5,29.38,,
17,,,25.99
18,,,26.47
19,,,24.62
20,,,24.56
21,,,25.53
22,,,25.92
29,,36.21,
30,,45.06,
31,,41.43,
32,,50.34,
33,,51.97,
34,,50.34,
