,Sham,HS2W,HS6W,HS10W
0,27.92,,,
1,28.82,,,
2,28.74,,,
6,,19.42,,
7,,22.76,,
8,,24.68,,
9,,23.14,,
10,,22.54,,
11,,,25.19,
12,,,22.93,
13,,,26.44,
14,,,25.98,
15,,,25.93,
16,,,29.8,
17,,,,25.99
18,,,,26.47
19,,,,24.62
20,,,,24.56
21,,,,25.53
22,,,,25.92
