,HS10W,HS10WGaE9,HS10WGaE10
17,28.8,,
18,27.9,,
19,28.0,,
20,25.1,,
21,28.2,,
22,29.6,,
35,,24.1,
36,,23.0,
37,,29.1,
38,,26.1,
39,,26.3,
40,,,20.9
41,,,25.1
42,,,21.3
43,,,18.0
44,,,18.1
