SampleID,Sham,HS2W
HS2W-1,,
HS2W-2,,20.0
HS2W-3,,20.8
HS2W-4,,19.6
HS2W-5,,22.0
Sham-1,36.0,
Sham-2,31.2,
Sham-3,32.8,
