Phylum,Genus,Species,Mean_Sham,Mean_HS2W,Log2FC(HS2W/Sham),P_value
Bacillota_A_368345,CAG-314,CAG-314 sp900551395,0.0011999768679157993,0.0,-20.194576366705824,0.027169851180873346
Bacillota_A_368345,COE1,COE1 sp000403335,0.02506939625260236,0.00038167938931297715,-6.037418436442744,0.028626732933344435
Bacillota_A_368345,unclassified,unclassified,0.010828706916493175,0.03950381679389313,1.8671309768033215,0.02977926415123971
Bacillota_I,Faecalibaculum,Faecalibaculum rodentium,7.228776312745779e-05,0.01897987508674532,8.036483452222742,0.03256749446044752
Bacillota_A_368345,Butyribacter,unclassified,0.008862479759426325,0.0,-23.079279159567967,0.035743082845330724
Pseudomonadota,Parasutterella_564865,unclassified,0.010091371732593106,0.0,-23.266619102263228,0.03642182291187293
Bacillota_A_368345,Massilioclostridium,unclassified,0.0,0.0013705759888965996,20.38635193972039,0.038851898488757364
Bacillota_B_370539,Peptococcus,Peptococcus niger,0.000390353920888272,0.003946911866759195,3.3378663084219964,0.041997444117916706
Bacillota_A_368345,Suilimivivens,Suilimivivens sp009917455,0.004134860050890586,0.0007373351839000694,-2.4874443870844924,0.04213303031758571
Bacillota_A_368345,Angelakisella,Angelakisella massiliensis,0.001142146657413833,0.013454198473282442,3.5582354727800047,0.04319128925007623
Bacillota_A_368345,Eubacterium_J,Eubacterium_J plexicaudatum,0.002992713393476752,0.0004250520471894518,-2.8157397954625605,0.04365592906748747
Bacillota_A_368345,Merdimmobilis,unclassified,0.0004481841313902382,0.0013532269257460097,1.594238161448601,0.04370385733115651
Bacillota_A_368345,Acetitomaculum,unclassified,0.0012144344205412907,0.0005464954892435809,-1.1520016415003669,0.044017277690451474
Bacteroidota,Alistipes_A_871400,Alistipes_A_871400 finegoldii,0.002703562340966921,0.004823039555863984,0.8350807841679875,0.04742950107350176
Bacteroidota,UBA7173,UBA7173 sp900540205,0.007966111496645847,0.052819222761970853,2.729115341077002,0.05137726810434654
Bacillota_A_368345,Lawsonibacter,Lawsonibacter sp000492175,0.0019083969465648854,0.006557945870922971,1.7808821747163037,0.053100031872972256
Bacteroidota,Lepagella,Lepagella muris_A,0.019156257228776313,0.038705759888966,1.0147325217014584,0.05330189185005796
Pseudomonadota,Parasutterella_564865,Parasutterella excrementihominis,0.00390353920888272,0.0,-21.89635169972755,0.05429682448270813
Bacillota_A_368345,Acutalibacter,Acutalibacter timonensis,0.0012433495257922738,0.0,-20.245801648121414,0.05752975147892881
Bacillota_A_368345,Petralouisia,Petralouisia sp000403315,0.0012288919731667824,0.006852879944482996,2.479351349304564,0.05873498685568512
Bacillota_A_368345,unclassified,unclassified,0.0006939625260235947,0.0017262317834836917,1.3146952824821505,0.0604753125601434
Bacteroidota,Prevotella,unclassified,0.008226347443904694,0.0,-22.97182075077185,0.06109491979837318
