Sham,HS2W,HS6W,HS10W
6018.4,7529.1,9062.9,11403.8
5602.5,7790.6,8879.1,11650.8
5956.1,7289.4,9135.5,11482.6
6071.4,7401.7,9361.6,10915.7
6295.6,7382.4,9954.5,12071.4
,,,11876.0
