Sham-10W,HS10W,HS10WGaE9,HS10WGaE10
6155.3,11736.6,9323.3,8042.7
6265.4,11463.6,8842.8,8183.9
6102.6,11076.6,9443.1,8138.5
6390.7,10742.6,9524.3,8062.8
6047.1,11276.7,9733.2,7821.2
6644.0,11928.2,9721.5,8089.7
