Sample_ID,Sham10W,HFD10W,HS10W
hfd10w-1,,0.8,
hfd10w-2,,0.8,
hfd10w-3,,0.8,
hfd10w-4,,1.3,
hfd10w-5,,1.3,
hfd10w-6,,0.8,
hs10w-1,,,3.3
hs10w-2,,,3.3
hs10w-3,,,3.8
hs10w-4,,,3.3
hs10w-5,,,4.0
hs10w-6,,,4.0
sham-1(10w),1.0,,
sham-2(10w),0.0,,
sham-3(10w),0.0,,
