Sample,GiNV-1,GiNV-2,GiNV-3
Label,GiNV,GiNV,GiNV
A0A8J5L4N4,18.2,17.6,15.4
A0A8J5GXF3,18.2,17.6,15.4
A0A8J5KJB4,22.4,15.6,15.4
A0A8J5FAQ8,14.9,15.6,15.4
A0A8J5KYY3,16,14.6,15.4
A0A8J5LK15,12.8,13.7,15.4
A0A8J5L0R6,10.7,13.7,15.4
A0A8J5GQM4,14.9,12.7,15.4
A0A8J5LD53,12.8,12.7,15.4
A0A8J5GA92,24.6,25.4,14.4
A0A8J5HRM1,18.2,13.7,14.4
A0A8J5HWH8,17.1,13.7,14.4
A0A8J5GT83,13.9,13.7,14.4
A0A8J5GCG7,33.1,12.7,14.4
A0A8J5LMJ6,20.3,17.6,13.5
A0A8J5F8P8,17.1,17.6,13.5
A0A8J5F5C6,22.4,16.6,13.5
A0A8J5HU87,18.2,13.7,13.5
A0A8J5IB55,16,13.7,13.5
A0A8J5GJN2,12.8,13.7,13.5
A0A8J5F3R2,18.2,12.7,13.5
A0A8J5G7G1,14.9,12.7,13.5
A0A8J5EXT5,14.9,12.7,13.5
A0A8J5IE52,19.2,11.7,13.5
A0A8J5KL86,13.9,11.7,13.5
A0A8J5HS37,12.8,11.7,13.5
A0A8J5G3L7,8.5,11.7,13.5
A0A8J5LQZ6,11.7,10.7,13.5
A0A8J5HFE0,8.5,10.7,13.5
A0A8J5H2P4,7.5,9.8,13.5
A0A8J5HBF1,13.9,33.2,12.5
A0A8J5G3D1,18.2,17.6,12.5
A0A8J5FQI7,18.2,14.6,12.5
A0A8J5GW61,11.7,13.7,12.5
A0A8J5LHW7,9.6,12.7,12.5
A0A8J5E809,31,11.7,12.5
A0A8J5EXW3,9.6,11.7,12.5
A0A8J5M299,16,10.7,12.5
A0A8J5HCW1,12.8,9.8,12.5
A0A8J5GKL8,12.8,9.8,12.5
A0A8J5GTD9,8.5,9.8,12.5
A0A8J5BED9,14.9,14.6,11.6
A0A8J5GKQ2,16,13.7,11.6
A0A8J5FC83,19.2,12.7,11.6
A0A8J5FDL5,14.9,12.7,11.6
A0A8J5F941,14.9,12.7,11.6
A0A8J5IC30,14.9,11.7,11.6
A0A8J5ISB3,14.9,10.7,11.6
A0A8J5HAZ7,11.7,10.7,11.6
A0A8J5I3X5,12.8,9.8,11.6
A0A8J5FCW8,11.7,9.8,11.6
A0A8J5F9F0,16,8.8,11.6
A0A8J5HFD5,26.7,18.5,10.6
A0A8J5KBF2,26.7,14.6,10.6
A0A8J5KIJ2,19.2,11.7,10.6
A0A8J5HHL6,13.9,11.7,10.6
A0A8J5F2N8,13.9,11.7,10.6
A0A8J5EXV6,11.7,11.7,10.6
A0A8J5GM18,29.9,10.7,10.6
A0A8J5F7F4,13.9,10.7,10.6
A0A8J5H4K6,11.7,10.7,10.6
A0A8J5F812,10.7,10.7,10.6
A0A8J5I9Q3,12.8,9.8,10.6
A0A8J5GSN5,11.7,8.8,10.6
A0A8J5CBW3,9.6,8.8,10.6
A0A8J5L5S6,11.7,16.6,9.6
A0A8J5FW22,11.7,10.7,9.6
A0A8J5LB47,10.7,10.7,9.6
A0A8J5GMP8,31,9.8,9.6
A0A8J5FIK8,13.9,9.8,9.6
A0A8J5GZJ5,12.8,9.8,9.6
A0A8J5KHY8,11.7,9.8,9.6
A0A8J5GP41,4.3,9.8,9.6
A0A8J5EMU9,10.7,8.8,9.6
A0A8J5KTM6,16,7.8,9.6
A0A8J5G786,12.8,7.8,9.6
A0A8J5KIA2,7.5,7.8,9.6
A0A8J5EP25,12.8,10.7,8.7
A0A8J5H952,13.9,9.8,8.7
A0A8J5KEB8,10.7,9.8,8.7
A0A8J5C3W0,9.6,9.8,8.7
A0A8J5KIP5,8.5,8.8,8.7
A0A8J5C078,8.5,8.8,8.7
A0A8J5H5J9,6.4,8.8,8.7
A0A8J5M5Z3,12.8,7.8,8.7
A0A8J5KXX3,7.5,7.8,8.7
A0A8J5KQK8,5.3,6.8,8.7
A0A8J5H7E1,12.8,5.9,8.7
A0A8J5GX75,10.7,8.8,7.7
A0A8J5IFF3,7.5,8.8,7.7
