### File: L7_Sham_HS2W_HS6W_HS10W-1.xlsx
Sample_ID,unclassified,Bacteroides_H_857956,Kineothrix,Paramuribaculum,UBA7173
SS10W-6,0.066967,0.058033,0.037604,0.109126,0.003426
HFD10W-1,0.013576,0.064755,0.1214,0.099454,0.085227
HFD10W-2,0.057295,0.036563,0.115588,0.02919,0.027238
HFD10W-3,0.070134,0.072779,0.126952,0.031445,0.049054
HFD10W-4,0.050009,0.069483,0.096027,0.035305,0.0517
HFD10W-5,0.024636,0.103097,0.092731,0.038732,0.06597
HFD10W-6,0.019301,0.106523,0.163905,0.032052,0.070437
HS10W-1,0.200382,0.104051,0.092167,0.011971,0.046712
HS10W-2,0.159048,0.085097,0.101275,0.040163,0.049011
HS10W-3,0.125867,0.060245,0.16525,0.028799,0.044934
HS10W-4,0.068832,0.107911,0.13953,0.035392,0.024939
HS10W-5,0.146253,0.101319,0.061936,0.019301,0.109646
HS10W-6,0.120186,0.147554,0.086962,0.022554,0.073907

--------------------------------------------------
