Sham-10W,SS10W,HFD10W,HS10W
5901.9,8244.1,12950.3,12079.3
5986.7,7630.7,13007.9,11089.7
6119.9,8068.2,12392.0,11981.7
5999.3,8392.1,12939.4,11706.4
5789.9,7517.8,12975.8,11911.0
6113.7,8055.4,12371.4,12448.4
