SampleID,Sham,HS2W,HS6W,HS10W
HS10W-1,,,,630.0
HS10W-2,,,,562.0
HS10W-3,,,,702.0
HS10W-4,,,,756.0
HS10W-5,,,,773.0
HS10W-6,,,,706.0
HS2W-1,,,,
HS2W-2,,640.0,,
HS2W-3,,767.0,,
HS2W-4,,740.0,,
HS2W-5,,674.0,,
HS6W-1,,,682.0,
HS6W-2,,,758.0,
HS6W-3,,,767.0,
HS6W-4,,,764.0,
HS6W-5,,,520.0,
HS6W-6,,,1171.0,
Sham-1,268.0,,,
Sham-2,284.0,,,
Sham-3,285.0,,,
