SampleID,Sham,HS2W,HS6W,HS10W
HS10W-1,,,,28.8
HS10W-2,,,,27.9
HS10W-3,,,,28.0
HS10W-4,,,,25.1
HS10W-5,,,,28.2
HS10W-6,,,,29.6
HS2W-1,,,,
HS2W-2,,20.0,,
HS2W-3,,20.8,,
HS2W-4,,19.6,,
HS2W-5,,22.0,,
HS6W-1,,,23.2,
HS6W-2,,,26.4,
HS6W-3,,,26.3,
HS6W-4,,,22.9,
HS6W-5,,,20.3,
HS6W-6,,,21.2,
Sham-1,36.0,,,
Sham-2,31.2,,,
Sham-3,32.8,,,
