Sample_ID,Sham,HS2W,HS6W,HS10W
hs10w-1,,,,3.3
hs10w-2,,,,3.3
hs10w-3,,,,3.8
hs10w-4,,,,3.3
hs10w-5,,,,4.0
hs10w-6,,,,4.0
hs2w-1,,1.0,,
hs2w-2,,1.0,,
hs2w-3,,0.5,,
hs2w-4,,0.0,,
hs2w-5,,0.5,,
hs6w-1,,,1.0,
hs6w-2,,,1.5,
hs6w-3,,,1.0,
hs6w-4,,,1.0,
hs6w-5,,,1.5,
hs6w-6,,,2.0,
sham-1,0.5,,,
sham-2,0.0,,,
sham-3,0.5,,,
