Group,Proteobacteria,Firmicutes,unclassified,Actinobacteriota,Dadabacteria,Desulfobacterota,Patescibacteria,Chloroflexi,Bacteroidota,Acidobacteriota
Sham,0.8911745724427235,0.10342045821232655,0.0014117457244272348,0.0008604926320318384,0.001734430461439174,0.00034957513176293425,0.00022856835538345708,0.00025545875013445197,8.067118425298485e-05,0.00013445197375497474
AP,0.87810584059374,0.11674464881144454,0.0015865332903087018,0.001425190921802732,0.0,0.0005646982897708938,0.00040335592126492415,0.00021512315800795956,0.00022856835538345702,0.00020167796063246207
AP-GiNV,0.8822200709906421,0.10629773045068303,0.007999892438420997,0.002245347961708078,0.00013445197375497474,0.0,0.0001478971711304722,0.0001075615790039798,0.00021512315800795956,0.00012100677637947727
