PCoA1,PCoA2,Sample,Group
0.005949735361890273,-0.004390360775477231,Sham-1_Lung,Sham
0.008682568689822437,-0.0159247111591088,Sham-2_Lung,Sham
-0.05983707642922375,0.039138758142215756,Sham-3_Lung,Sham
0.016712739484697533,-0.004023270298757882,Sham-4_Lung,Sham
0.08628266562111857,0.006853899967950048,Sham-5_Lung,Sham
-0.007832297700901271,-0.007409259887051237,Sham-6_Lung,Sham
-0.04936707058275775,0.018620232245120764,AP-1_Lung,AP
-0.039130347539371745,0.016844172330922152,AP-2_Lung,AP
-0.029519370005186524,0.006078521943998475,AP-3_Lung,AP
0.006155108389589371,-0.006020309267019523,AP-4_Lung,AP
0.07892870046892236,0.02137059421253376,AP-5_Lung,AP
-0.0032432946359723827,-0.007058684003636523,AP-6_Lung,AP
-0.03310124778079244,0.008621235924789106,AP-GiExo-1_Lung,AP-GiNV
-0.05336693640452241,-0.05491152687726285,AP-GiExo-2_Lung,AP-GiNV
-0.024106792021188584,0.010998242124316769,AP-GiExo-3_Lung,AP-GiNV
0.021772878542312166,-0.016229192699491045,AP-GiExo-4_Lung,AP-GiNV
0.08318573924950765,-0.001311246630003153,AP-GiExo-5_Lung,AP-GiNV
-0.008165702707943501,-0.011247095294038672,AP-GiExo-6_Lung,AP-GiNV
