SampleID,Sham,HS2W,HS6W,HS10W
HS10W-1,,,,541.0
HS10W-2,,,,288.0
HS10W-3,,,,556.0
HS10W-4,,,,536.0
HS10W-5,,,,643.0
HS10W-6,,,,172.0
HS2W-1,,,,
HS2W-2,,698.0,,
HS2W-3,,875.0,,
HS2W-4,,376.0,,
HS2W-5,,897.0,,
HS6W-1,,,446.0,
HS6W-2,,,175.0,
HS6W-3,,,620.0,
HS6W-4,,,183.0,
HS6W-5,,,132.0,
HS6W-6,,,253.0,
Sham-1,148.0,,,
Sham-2,53.0,,,
Sham-3,87.0,,,
