Group,CVF_Percent
Sham,2.861587349913421
Sham,2.6896617050454124
Sham,1.9927889903538936
Sham,2.319490443436892
Sham,3.0444777426954994
Sham,2.708259455528291
Sham,1.9356619736607068
Sham,2.3280319716010696
Sham,2.646042055953305
Sham,2.06388949198529
Sham,2.1993877120866845
Sham,3.0198028396056795
Sham,1.7651906450949824
Sham,1.907234245450452
Sham,1.33465141440601
Sham,1.6665026376816303
Sham,2.024585884474821
Sham,2.2754877048341258
Sham10W,1.2642003367950465
Sham10W,1.2602653278603588
Sham10W,2.16449523138398
Sham10W,1.874287135137986
Sham10W,1.9538890448686463
Sham10W,1.5956368976799524
Sham10W,1.171691872527255
Sham10W,1.5076933380213304
Sham10W,1.7054771895672765
Sham10W,1.8003668987479626
Sham10W,1.3899122908464043
Sham10W,1.5234382787720218
Sham10W,1.4670520683891488
Sham10W,1.6766003934819282
Sham10W,1.5946387228103105
Sham10W,1.0945498037722317
Sham10W,1.709333593360311
Sham10W,1.1922627941834525
