Group,CVF_Percent
Sham10W,1.1922627941834525
Sham10W,1.5946387228103105
Sham10W,1.6766003934819282
Sham10W,1.4670520683891488
Sham10W,1.7054771895672765
Sham10W,1.3899122908464043
Sham10W,1.8003668987479626
Sham10W,1.709333593360311
Sham10W,1.5234382787720218
Sham10W,1.171691872527255
Sham10W,1.5076933380213304
Sham10W,1.2642003367950465
Sham10W,1.2602653278603588
Sham10W,2.16449523138398
Sham10W,1.0945498037722317
Sham10W,1.874287135137986
Sham10W,1.9538890448686463
Sham10W,1.5956368976799524
HS10W,8.014913595512702
HS10W,10.5235200199601
HS10W,5.069057526506879
HS10W,5.401979823239416
HS10W,6.993527361416918
HS10W,12.568838328232289
HS10W,11.294830459153305
HS10W,6.904251582795092
HS10W,8.224071717589117
HS10W,5.937915136867557
HS10W,8.940021388427494
HS10W,7.4096820270358545
HS10W,6.868733986959836
HS10W,4.799102937147548
HS10W,5.154573133208104
HS10W,5.876955740953585
HS10W,3.684024558121296
HS10W,2.836011239020132
HS10W,4.643633472121217
HS10W,3.0299157945710364
HS10W,4.38641959310613
HS10W,4.743224277932256
HS10W,8.369054288689608
HS10W,2.573725125060063
HS10W,3.5839375348577804
HS10W,1.938303911788377
HS10W,2.8104435057201576
HS10W,3.757954071674278
HS10W,4.570962626599184
HS10W,9.582552928601547
HS10W,7.8804140551260575
HS10W,11.89430830691988
HS10W,7.2141462078569
HS10W,6.976702606864562
HS10W,12.22803074269894
HS10W,8.624202312511981
