Sham10W,SS10W,HFD10W,HS10W
0.1995514682871551,0.069759715591084,,0.4285038293695998
0.143885571986495,0.1059213789218948,,0.3294856636907406
0.9134433370672906,0.0985639088737466,,0.6127002360544819
0.1129467209540535,0.196938901039563,,0.5826399980928315
0.312688631983405,0.2247413046718392,,0.6523631262728263
0.1300066762346036,0.1877900972810121,,1.0837941130835718
0.2653555818295625,0.1464058162810925,,0.4020753498521329
0.783035710173938,0.0922288302517192,,0.7374187657768946
0.6676512992019576,0.0965695904094583,,0.661086776732931
0.2942205133892047,0.4610912463880896,,0.9202204414970372
0.3830777898761743,0.0680229209496302,,0.2664877466884167
0.3661223842739378,0.2413303413831914,,0.4737421471236916
0.1481582058081211,0.3134072786966435,,0.0389844866108592
0.2194677664630613,0.1052067449108474,,0.0216569030128916
0.4601599191600608,0.1685301872163123,,0.064959997492497
0.3028407855479266,0.1945306573154269,,0.4784856984753944
0.180682263518132,0.1081914340814073,,0.2350572885922293
0.0935115523149914,0.671343887873017,,0.1472103288248693
,0.1083313174593029,,0.2869983672503913
,0.0660414412115165,,1.0632241579522372
,0.1499666417691577,,0.4198540857596806
,0.3998633839726578,,1.0735785327915848
,0.1350430093251352,,0.3675130205824249
,0.057401807610656,,1.96223586405656
,0.3058520891697965,,0.6774826034545203
,0.2767742991809989,,0.3298463644223184
,0.1955734480876935,,0.365122408301382
,1.6059697564918285,,0.4940607506464476
,0.4030406090143495,,0.4736464885560972
,0.3485578568397421,,0.2955297634598999
,0.2322945139733241,,1.0230981572127384
,0.0302870993305002,,0.3399314167945598
,0.0353872128519535,,0.4652667038111522
,0.0622891539699689,,0.5142911934170726
,0.0794388870899047,,0.6871349476758336
,0.0394426227578046,,0.5030621864264158
