Sham,Sham10W
0.3421698649005549,0.1995514682871551
0.2820477704530901,0.143885571986495
0.1667421297041225,0.9134433370672906
0.2698240072912443,0.1129467209540535
0.4704068012885499,0.312688631983405
0.3035291812117082,0.1300066762346036
0.2258974543811066,0.2653555818295625
0.1523894502376948,0.783035710173938
0.1566244931792041,0.6676512992019576
0.4711336643800553,0.2942205133892047
0.5032625479546319,0.3830777898761743
0.596621254246569,0.3661223842739378
0.0935016362786348,0.1481582058081211
0.0883916620722518,0.2194677664630613
0.0555855294152402,0.4601599191600608
0.0666044392412472,0.3028407855479266
0.0579943425927021,0.180682263518132
0.0447516002945675,0.0935115523149914
