Sham10W,SS10W,HFD10W,HS10W
2.096192886848041,7.949085188534943,5.861864266318982,7.343128898398393
2.1963609720356576,4.581836310278012,4.500454121548738,9.168599081862864
1.9350998312235883,5.409201141559251,5.161512108962885,8.493830523912438
1.984165016590217,5.328648762455412,2.466059140784824,5.994132768225729
2.25507309622518,4.240523728108588,3.5276381480326795,6.371833879307347
1.8158827947482008,4.47615375118694,3.018622581473794,7.290042944926856
2.2974041849428346,3.804697661370534,3.083203430714566,4.727628321377109
2.242562950667675,3.515421803517358,2.140280629803422,3.657891564634888
1.9387818568777,3.7380083701837465,2.7330825621954675,5.909026993069388
1.5877691093728878,5.158095738152216,2.507065489944273,3.874036549840272
2.093361090882916,4.549142388130509,2.348135138943663,5.631420542034057
2.538135354932065,3.941649089973467,1.782452081388623,5.953617083441341
2.408544827618917,3.368266782900929,2.95817737151232,9.849286429085904
2.7879519580581404,5.379409878127005,3.379377436674043,3.325419024642409
1.6778354742760249,5.576784382754532,2.900559095681047,4.366732332672759
1.688133887880274,3.776659628945685,3.100606124053325,2.5657105993863705
1.4563467480758354,5.763436580244013,2.6614882459870586,3.5882832131427227
1.582715815727562,4.859231644435837,2.867670787141972,4.796117175284479
,4.57036182053658,3.0570455151321627,5.68432588158339
,4.190087077899,2.6169938853975263,11.432112830906808
,3.9030513671079055,2.3125699900044965,9.666738664320595
,3.09468035599027,2.1437363205762483,14.110103737201998
,2.867745008882612,2.772927629784569,8.435594031206122
,4.242159669534104,2.175573952636576,8.39125423667501
,4.980874664322177,4.085315601581444,10.932599808054167
,5.533245290138264,3.1132625941499312,14.776312007979396
,4.775564739216365,4.420444380646942,10.329480330659187
,5.366060097584953,4.226374520572805,8.341952563933797
,7.328235031880437,3.5945609007761474,13.250935827597102
,4.981351369876781,3.010209124939652,14.831606591288995
,5.875646052727872,3.105014884627126,8.635733551111636
,3.1351299686415826,3.0861625187219235,6.820241726592226
,2.54148996394768,2.607686912192362,6.310497260660082
,3.01939511035149,3.18000197003787,12.42799922538331
,3.741328059935499,3.34817621793311,9.854618394605442
,6.164645902895142,2.986012764291996,10.004135109914053
