Sham,HS2W
3.5506052386057565,8.665280047697726
2.5490009710161474,13.893049336989929
2.155484566223378,7.729448357522832
1.7191130463851796,12.093494870897617
2.389251054596247,8.025649908563711
2.234228351932246,12.837475589056597
3.832699794779536,10.379551894820484
2.8193946454116188,11.918921136304036
2.87901821896326,7.505378883965021
3.2922750719222797,12.428089961937271
2.923136066834211,6.039111001485908
2.5372343443610657,6.258446165680084
3.389400108460804,7.542212911340427
3.779094529009594,8.187614080156424
2.968849563618342,10.50521891714253
2.537034552806577,6.838003395803044
3.3693196131450978,13.904286727140995
2.6187100728047072,11.389813998894189
,7.728403365448947
,11.932842340698944
,7.960304627672259
,7.805583678509448
,5.701303972804302
,7.039499218276857
,9.442973155553096
,8.611862661588843
,9.599705243689986
,8.872921390247924
,12.172006356046772
,7.979079434354889
