Replicate,HS10W,SHAM10W
1,2.4,1.0
2,2.6,1.2
3,3.4,2.7
4,2.5,0.6
5,2.5,2.4
6,1.5,1.6
7,2.9,2.4
8,1.4,1.6
9,0.5,2.0
10,3.4,2.5
11,1.3,2.8
12,3.1,1.3
13,2.0,2.8
14,3.3,1.7
15,2.3,0.7
16,3.3,1.1
17,1.7,1.9
18,3.4,2.7
19,3.0,
20,3.3,
21,3.3,
22,2.5,
23,1.6,
24,1.5,
25,1.0,
26,0.9,
27,0.5,
28,0.8,
29,2.0,
30,3.4,
31,1.8,
32,1.7,
33,2.2,
34,1.8,
35,2.3,
36,1.9,
