Group,CVF_Percent
Sham,2.861587349913421
Sham,1.33465141440601
Sham,1.907234245450452
Sham,1.7651906450949824
Sham,3.0198028396056795
Sham,2.1993877120866845
Sham,2.2754877048341258
Sham,2.646042055953305
Sham,2.3280319716010696
Sham,1.9356619736607068
Sham,1.6665026376816303
Sham,2.708259455528291
Sham,2.319490443436892
Sham,1.9927889903538936
Sham,2.6896617050454124
Sham,2.06388949198529
Sham,3.0444777426954994
Sham,2.024585884474821
HS2W,6.818398677422634
HS2W,11.427876363059267
HS2W,6.063696997294619
HS2W,9.69730473852224
HS2W,6.300442865167806
HS2W,10.214015044060163
HS2W,6.244667863302927
HS2W,5.988230395840526
HS2W,10.58157644746874
HS2W,4.742712582408355
HS2W,5.09088166161363
HS2W,6.035215615267332
HS2W,6.525902154826937
HS2W,8.799489455354431
HS2W,5.492616962903001
HS2W,11.9927314609293
HS2W,9.432035288529738
HS2W,6.182246657480824
HS2W,9.847351587670504
HS2W,6.418380005986292
HS2W,6.243107726671129
HS2W,4.488898875142187
HS2W,5.758917748297872
HS2W,7.900893075419776
HS2W,6.9926979764503
HS2W,7.888055932158333
HS2W,7.3061491608430895
HS2W,9.828597419262556
HS2W,10.454531230092115
HS2W,8.694573326498647
