SS10W,HS10W
7.949085188534943,7.343128898398393
4.581836310278012,9.168599081862864
5.409201141559251,8.493830523912438
5.328648762455412,5.994132768225729
4.240523728108588,6.371833879307347
4.47615375118694,7.290042944926856
3.804697661370534,4.727628321377109
3.515421803517358,3.657891564634888
3.7380083701837465,5.909026993069388
5.158095738152216,3.874036549840272
4.549142388130509,5.631420542034057
3.941649089973467,5.953617083441341
3.368266782900929,9.849286429085904
5.379409878127005,3.325419024642409
5.576784382754532,4.366732332672759
3.776659628945685,2.5657105993863705
5.763436580244013,3.5882832131427227
4.859231644435837,4.796117175284479
4.57036182053658,5.68432588158339
4.190087077899,11.432112830906808
3.9030513671079055,9.666738664320595
3.09468035599027,14.110103737201998
2.867745008882612,8.435594031206122
4.242159669534104,8.39125423667501
4.980874664322177,10.932599808054167
5.533245290138264,14.776312007979396
4.775564739216365,10.329480330659187
5.366060097584953,8.341952563933797
7.328235031880437,13.250935827597102
4.981351369876781,14.831606591288995
5.875646052727872,8.635733551111636
3.1351299686415826,6.820241726592226
2.54148996394768,6.310497260660082
3.01939511035149,12.42799922538331
3.741328059935499,9.854618394605442
6.164645902895142,10.004135109914053
