Group,CVF_Percent
Sham10W,1.3899122908464043
Sham10W,1.5946387228103105
Sham10W,1.6766003934819282
Sham10W,1.4670520683891488
Sham10W,1.5234382787720218
Sham10W,1.7054771895672765
Sham10W,1.8003668987479626
Sham10W,1.709333593360311
Sham10W,1.171691872527255
Sham10W,1.5076933380213304
Sham10W,1.9538890448686463
Sham10W,1.874287135137986
Sham10W,2.16449523138398
Sham10W,1.2602653278603588
Sham10W,1.2642003367950465
Sham10W,1.0945498037722317
Sham10W,1.1922627941834525
Sham10W,1.5956368976799524
HS10W,6.993527361416918
HS10W,12.568838328232289
HS10W,5.401979823239416
HS10W,5.937915136867557
HS10W,10.5235200199601
HS10W,8.224071717589117
HS10W,11.294830459153305
HS10W,5.069057526506879
HS10W,6.904251582795092
HS10W,8.014913595512702
HS10W,12.22803074269894
HS10W,7.4096820270358545
HS10W,6.868733986959836
HS10W,4.799102937147548
HS10W,5.154573133208104
HS10W,5.876955740953585
HS10W,8.624202312511981
HS10W,2.836011239020132
HS10W,4.643633472121217
HS10W,3.0299157945710364
HS10W,4.38641959310613
HS10W,4.743224277932256
HS10W,8.369054288689608
HS10W,3.684024558121296
HS10W,3.5839375348577804
HS10W,2.573725125060063
HS10W,8.940021388427494
HS10W,6.976702606864562
HS10W,7.2141462078569
HS10W,7.8804140551260575
HS10W,11.89430830691988
HS10W,9.582552928601547
HS10W,4.570962626599184
HS10W,3.757954071674278
HS10W,2.8104435057201576
HS10W,1.938303911788377
HS10WGaE9,1.9762526162957
HS10WGaE9,2.7723530406941665
HS10WGaE9,5.8734720137250696
HS10WGaE9,3.948211774396527
HS10WGaE9,8.854196391008278
HS10WGaE9,3.292262637724752
HS10WGaE9,3.4071753666348257
HS10WGaE9,3.958649651225142
HS10WGaE9,4.48241417082404
HS10WGaE9,4.61706347195335
HS10WGaE9,2.392647439657952
HS10WGaE9,3.655442220481553
HS10WGaE9,5.8538111355653095
HS10WGaE9,10.009377281118953
HS10WGaE9,7.149528506771048
HS10WGaE9,5.305269288842791
HS10WGaE9,4.539017512263324
HS10WGaE9,3.950046641702069
HS10WGaE9,4.189880051715207
HS10WGaE9,5.005658140308633
HS10WGaE9,6.402627737836832
HS10WGaE9,3.796535740670885
HS10WGaE9,14.36156341997436
HS10WGaE9,5.384114252926183
HS10WGaE9,15.8803719689115
HS10WGaE9,11.36373350201737
HS10WGaE9,11.647493937140664
HS10WGaE9,8.55355537522773
HS10WGaE9,3.2688062937240665
HS10WGaE9,8.890132264030711
HS10WGaE10,3.5058167581862096
HS10WGaE10,3.6008501112941564
HS10WGaE10,8.475372089506369
HS10WGaE10,7.279425441303583
HS10WGaE10,3.3206002061165703
HS10WGaE10,5.035178855784006
HS10WGaE10,7.260386072685694
HS10WGaE10,3.5610723805893425
HS10WGaE10,4.547853583362956
HS10WGaE10,3.961159141817988
HS10WGaE10,2.877042883031243
HS10WGaE10,3.3673623053106208
HS10WGaE10,3.2971231263297125
HS10WGaE10,1.7601011591978115
HS10WGaE10,5.123356221699886
HS10WGaE10,4.951786585839518
HS10WGaE10,7.705488081439299
HS10WGaE10,8.795997261578375
HS10WGaE10,6.89884163246008
HS10WGaE10,7.960505182004159
HS10WGaE10,5.749551919371323
HS10WGaE10,5.724971636398748
HS10WGaE10,3.7254617138448887
HS10WGaE10,2.7896770793969483
HS10WGaE10,3.4409940286405467
HS10WGaE10,3.430024368055923
HS10WGaE10,2.913402274609091
HS10WGaE10,3.733482310120125
HS10WGaE10,3.294677306534377
HS10WGaE10,4.55278232562253
