Group,Glomerular_Area_um2_mean,Glomerular_Area_um2_std,Glomerular_Area_um2_sem,Glomerular_Area_um2_count,PAS_Area_um2_mean,PAS_Area_um2_std,PAS_Area_um2_sem,Mesangial_Index_Percent_mean,Mesangial_Index_Percent_std,Mesangial_Index_Percent_sem,Optical_Density_mean,Optical_Density_std,Optical_Density_sem
HS10W,93444.05892277778,2107.6575691048597,351.27626151747666,36,507.4060547194444,349.29982012617705,58.21663668769618,0.5410763863611111,0.3709835735549547,0.06183059559249245,0.58005695575,0.04013971075518728,0.006689951792531213
HS10WGAE10,85041.762844,4461.663894887684,814.584653078781,30,218.92865839433335,224.46221076772753,40.98100538165445,0.2522680523,0.2535764820246442,0.046296519752566975,0.5228200085,0.0346527098727713,0.006326690291999606
HS10WGAE9,86666.00925199999,5472.837560949653,999.1988618978932,30,379.895300709,544.0410620106586,99.32785395743487,0.43229172956666667,0.5967825668597906,0.10895709126498077,0.5197425915666667,0.04702433195594976,0.008585429121294903
SS10W,84979.80886361112,6883.457406359116,1147.2429010598526,36,187.98595895083335,219.62605483596556,36.604342472660925,0.22450359416666668,0.275055012267529,0.04584250204458817,0.5032631862777778,0.030877294236748128,0.005146215706124688
Sham,93585.44761111111,2984.0951728945683,703.3579774865974,18,227.63168573944444,165.9209008664825,39.107931381090225,0.24152654588888886,0.1749030631096667,0.041225047325047996,0.5750322834444445,0.04130033066197103,0.009734581292108803
Sham10W,94011.37488833333,2892.9860935209413,681.883361535679,18,313.65554744055555,224.0596482905033,52.811365565495905,0.3320447876111111,0.236321307096573,0.05570146626228512,0.6067893481666666,0.0771951628431316,0.018195074373726052
