Replicate,HS2W,SHAM
1,1.4,0.8
2,2.4,0.5
3,0.6,1.1
4,1.0,1.7
5,1.8,2.7
6,1.2,1.3
7,3.4,1.3
8,3.2,1.2
9,3.1,0.8
10,0.6,1.0
11,2.9,3.2
12,3.2,0.7
13,2.6,1.0
14,1.2,0.6
15,1.7,2.6
16,3.4,3.5
17,1.5,0.8
18,2.3,2.7
19,2.1,
20,1.9,
21,1.2,
22,3.3,
23,2.3,
24,1.2,
25,0.6,
26,2.1,
27,0.8,
28,3.0,
29,2.6,
30,3.3,
