Replicate,HS2W,SHAM
1,69.2,50.3
2,85.3,64.0
3,74.3,61.4
4,57.0,64.2
5,55.3,69.2
6,70.3,85.9
7,86.4,67.0
8,81.5,68.8
9,68.2,100.0
10,77.9,79.3
11,74.9,37.4
12,63.4,63.2
13,48.8,53.7
14,61.9,98.9
15,60.1,88.2
16,62.8,77.0
17,74.1,80.6
18,52.9,81.7
19,22.3,
20,68.6,
21,70.5,
22,65.5,
23,76.6,
24,54.4,
25,41.2,
26,76.1,
27,56.9,
28,74.7,
29,43.6,
30,71.0,
