Sham,Sham10W,HS2W,HS6W,HS10W,HFD10W,SS10W,GAE9,GAE10
3.5506052386057565,2.096192886848041,8.665280047697726,22.203513227608195,7.343128898398393,5.861864266318982,7.949085188534943,6.904919270582754,3.815642965716812
2.5490009710161474,2.1963609720356576,13.893049336989929,25.373654620620837,9.168599081862864,4.500454121548738,4.581836310278012,5.311269008676099,4.563078653140646
2.155484566223378,1.9350998312235883,7.729448357522832,30.51634637398784,8.493830523912438,5.161512108962885,5.409201141559251,6.800858400866339,4.51104245880062
1.7191130463851796,1.984165016590217,12.093494870897617,26.088122574690665,5.994132768225729,2.466059140784824,5.328648762455412,6.323308227973261,3.677144944212761
2.389251054596247,2.25507309622518,8.025649908563711,21.398758942767383,6.371833879307347,3.5276381480326795,4.240523728108588,8.03770013073227,4.829347527499871
2.234228351932246,1.8158827947482008,12.837475589056597,23.18048573900124,7.290042944926856,3.018622581473794,4.47615375118694,4.90074638068172,7.194763772560296
3.832699794779536,2.2974041849428346,10.379551894820484,21.28464970970108,4.727628321377109,3.083203430714566,3.804697661370534,16.97025376367118,7.3772911334836575
2.8193946454116188,2.242562950667675,11.918921136304036,18.47028725824958,3.657891564634888,2.140280629803422,3.515421803517358,10.657613827917675,6.597231278073509
2.87901821896326,1.9387818568777,7.505378883965021,19.2435951639744,5.909026993069388,2.7330825621954675,3.7380083701837465,18.835654718201045,9.671466570737763
3.2922750719222797,1.5877691093728878,12.428089961937271,25.758264458030595,3.874036549840272,2.507065489944273,5.158095738152216,13.76086006191984,8.533034309381273
2.923136066834211,2.093361090882916,6.039111001485908,19.58385127896095,5.631420542034057,2.348135138943663,4.549142388130509,14.100208830368157,10.670015362214002
2.5372343443610657,2.538135354932065,6.258446165680084,26.681384219726368,5.953617083441341,1.782452081388623,3.941649089973467,10.46610858462679,9.439710325041856
3.389400108460804,2.408544827618917,7.542212911340427,2.81440158368777,9.849286429085904,2.95817737151232,3.368266782900929,4.365396897821315,6.160329954600075
3.779094529009594,2.7879519580581404,8.187614080156424,4.406661464127385,3.325419024642409,3.379377436674043,5.379409878127005,5.913632069564917,4.308908174585055
2.968849563618342,1.6778354742760249,10.50521891714253,3.659520329029261,4.366732332672759,2.900559095681047,5.576784382754532,5.318700626427205,2.2756386105041067
2.537034552806577,1.688133887880274,6.838003395803044,6.309136182934587,2.5657105993863705,3.100606124053325,3.776659628945685,8.952959505636219,3.6663281625806334
3.3693196131450978,1.4563467480758354,13.904286727140995,4.078672047651544,3.5882832131427227,2.6614882459870586,5.763436580244013,7.429023327756881,4.447505429318428
2.6187100728047072,1.582715815727562,11.389813998894189,3.5259767574210468,4.796117175284479,2.867670787141972,4.859231644435837,10.825273828496606,4.554877645418509
,,7.728403365448947,15.343823731066882,5.68432588158339,3.0570455151321627,4.57036182053658,3.558850409676005,10.50149831162506
,,11.932842340698944,17.053270977359297,11.432112830906808,2.6169938853975263,4.190087077899,7.515429053833095,9.23252324679208
,,7.960304627672259,19.89311878632584,9.666738664320595,2.3125699900044965,3.9030513671079055,5.319108947895232,4.399870721128716
,,7.805583678509448,11.599025953415383,14.110103737201998,2.1437363205762483,3.09468035599027,2.6954935987677167,4.381061975998684
,,5.701303972804302,19.18191199217555,8.435594031206122,2.772927629784569,2.867745008882612,4.339366145940038,9.036186599122924
,,7.039499218276857,20.150618046774724,8.39125423667501,2.175573952636576,4.242159669534104,12.493154036583922,6.383823259584593
,,9.442973155553096,20.169113780798007,10.932599808054167,4.085315601581444,4.980874664322177,5.050932029536439,4.717882523265342
,,8.611862661588843,28.23833816631606,14.776312007979396,3.1132625941499312,5.533245290138264,5.705272383760581,5.875337244095109
,,9.599705243689986,23.256594523672025,10.329480330659187,4.420444380646942,4.775564739216365,5.869973198041793,5.013879368091267
,,8.872921390247924,29.567056086513364,8.341952563933797,4.226374520572805,5.366060097584953,3.108454395287666,4.418383982206196
,,12.172006356046772,34.83879633837193,13.250935827597102,3.5945609007761474,7.328235031880437,4.3519164295204975,4.747497657286559
,,7.979079434354889,26.53010733167436,14.831606591288995,3.010209124939652,4.981351369876781,4.808085914212165,5.884845669569179
,,,22.335713441240117,8.635733551111636,3.105014884627126,5.875646052727872,,
,,,21.57889547552868,6.820241726592226,3.0861625187219235,3.1351299686415826,,
,,,18.58759966439833,6.310497260660082,2.607686912192362,2.54148996394768,,
,,,19.689432082981263,12.42799922538331,3.18000197003787,3.01939511035149,,
,,,20.278267514933997,9.854618394605442,3.34817621793311,3.741328059935499,,
,,,17.703015838041463,10.004135109914053,2.986012764291996,6.164645902895142,,
