Replicate,HS10W,SHAM10W
1,66.5,95.6
2,81.2,68.7
3,65.4,80.5
4,87.6,74.4
5,62.5,62.1
6,50.3,71.7
7,32.0,60.6
8,60.9,65.6
9,72.0,93.3
10,58.2,86.2
11,58.6,92.3
12,86.7,82.7
13,36.9,62.1
14,94.4,78.8
15,64.0,65.9
16,77.0,45.7
17,40.2,65.2
18,90.6,56.3
19,73.8,
20,52.7,
21,56.6,
22,100.0,
23,81.5,
24,100.0,
25,75.9,
26,76.2,
27,53.4,
28,63.0,
29,51.8,
30,47.1,
31,71.7,
32,62.0,
33,85.6,
34,50.2,
35,83.7,
36,72.1,
