Replicate,SHAM,SHAM10W
1,0.8,1.0
2,0.5,1.2
3,1.1,2.7
4,1.7,0.6
5,2.7,2.4
6,1.3,1.6
7,1.3,2.4
8,1.2,1.6
9,0.8,2.0
10,1.0,2.5
11,3.2,2.8
12,0.7,1.3
13,1.0,2.8
14,0.6,1.7
15,2.6,0.7
16,3.5,1.1
17,0.8,1.9
18,2.7,2.7
