Sham,Sham10W,HS2W,HS6W,HS10W,HFD10W,SS10W,GAE9,GAE10
0.3421698649005549,0.1995514682871551,,,0.4285038293695998,,0.069759715591084,0.6214144096400795,0.3375016895440429
0.2820477704530901,0.143885571986495,,,0.3294856636907406,,0.1059213789218948,0.1112172759117272,0.2488359379418251
0.1667421297041225,0.9134433370672906,,,0.6127002360544819,,0.0985639088737466,0.1104343988994315,0.5980717912845225
0.2698240072912443,0.1129467209540535,,,0.5826399980928315,,0.196938901039563,0.163309567933705,0.3081963140652413
0.4704068012885499,0.312688631983405,,,0.6523631262728263,,0.2247413046718392,0.1597246734909989,1.1728473472972438
0.3035291812117082,0.1300066762346036,,,1.0837941130835718,,0.1877900972810121,0.1279935249400898,0.7239271022813633
0.2258974543811066,0.2653555818295625,,,0.4020753498521329,,0.1464058162810925,1.071171721283669,0.2348273704799401
0.1523894502376948,0.783035710173938,,,0.7374187657768946,,0.0922288302517192,0.6901558270022837,0.0775873669947424
0.1566244931792041,0.6676512992019576,,,0.661086776732931,,0.0965695904094583,0.6413680650545478,0.2066534887630353
0.4711336643800553,0.2942205133892047,,,0.9202204414970372,,0.4610912463880896,3.0577490428958307,0.3605235044209677
0.5032625479546319,0.3830777898761743,,,0.2664877466884167,,0.0680229209496302,1.3934993830840483,0.2547681694864419
0.596621254246569,0.3661223842739378,,,0.4737421471236916,,0.2413303413831914,0.2643359227349233,0.2384530319543066
0.0935016362786348,0.1481582058081211,,,0.0389844866108592,,0.3134072786966435,0.2425664024451106,0.2476130222130109
0.0883916620722518,0.2194677664630613,,,0.0216569030128916,,0.1052067449108474,0.2265154895395046,0.1388354870526087
0.0555855294152402,0.4601599191600608,,,0.064959997492497,,0.1685301872163123,0.1396788763686936,0.1966616010070202
0.0666044392412472,0.3028407855479266,,,0.4784856984753944,,0.1945306573154269,0.0580900343511516,0.1515062179074709
0.0579943425927021,0.180682263518132,,,0.2350572885922293,,0.1081914340814073,0.2022666601869835,0.2603875086904331
0.0447516002945675,0.0935115523149914,,,0.1472103288248693,,0.671343887873017,0.7376786937720452,0.0782359021077621
,,,,0.2869983672503913,,0.1083313174593029,0.4218108993707453,0.1323749147723151
,,,,1.0632241579522372,,0.0660414412115165,0.0985279935161101,0.1256729029211929
,,,,0.4198540857596806,,0.1499666417691577,0.1016932914623966,0.0672559933615492
,,,,1.0735785327915848,,0.3998633839726578,0.089395183945302,0.0713945532160318
,,,,0.3675130205824249,,0.1350430093251352,0.865401215030869,0.0331305594610019
,,,,1.96223586405656,,0.057401807610656,0.1988232973167379,0.7515061022789916
,,,,0.6774826034545203,,0.3058520891697965,0.1783750423431909,0.0943724851776548
,,,,0.3298463644223184,,0.2767742991809989,0.1583825115717636,0.0791137156489739
,,,,0.365122408301382,,0.1955734480876935,0.1399788282022344,0.0302546870856824
,,,,0.4940607506464476,,1.6059697564918285,0.0802706840948061,0.0656162029156345
,,,,0.4736464885560972,,0.4030406090143495,0.4994405673561257,0.1913969874973054
,,,,0.2955297634598999,,0.3485578568397421,0.1174824048925006,0.0905196138873261
,,,,1.0230981572127384,,0.2322945139733241,,
,,,,0.3399314167945598,,0.0302870993305002,,
,,,,0.4652667038111522,,0.0353872128519535,,
,,,,0.5142911934170726,,0.0622891539699689,,
,,,,0.6871349476758336,,0.0794388870899047,,
,,,,0.5030621864264158,,0.0394426227578046,,
