SS10W,HS10W,GAE9,GAE10
7.949085188534943,7.343128898398393,6.904919270582754,3.815642965716812
4.581836310278012,9.168599081862864,5.311269008676099,4.563078653140646
5.409201141559251,8.493830523912438,6.800858400866339,4.51104245880062
5.328648762455412,5.994132768225729,6.323308227973261,3.677144944212761
4.240523728108588,6.371833879307347,8.03770013073227,4.829347527499871
4.47615375118694,7.290042944926856,4.90074638068172,7.194763772560296
3.804697661370534,4.727628321377109,16.97025376367118,7.3772911334836575
3.515421803517358,3.657891564634888,10.657613827917675,6.597231278073509
3.7380083701837465,5.909026993069388,18.835654718201045,9.671466570737763
5.158095738152216,3.874036549840272,13.76086006191984,8.533034309381273
4.549142388130509,5.631420542034057,14.100208830368157,10.670015362214002
3.941649089973467,5.953617083441341,10.46610858462679,9.439710325041856
3.368266782900929,9.849286429085904,4.365396897821315,6.160329954600075
5.379409878127005,3.325419024642409,5.913632069564917,4.308908174585055
5.576784382754532,4.366732332672759,5.318700626427205,2.2756386105041067
3.776659628945685,2.5657105993863705,8.952959505636219,3.6663281625806334
5.763436580244013,3.5882832131427227,7.429023327756881,4.447505429318428
4.859231644435837,4.796117175284479,10.825273828496606,4.554877645418509
4.57036182053658,5.68432588158339,3.558850409676005,10.50149831162506
4.190087077899,11.432112830906808,7.515429053833095,9.23252324679208
3.9030513671079055,9.666738664320595,5.319108947895232,4.399870721128716
3.09468035599027,14.110103737201998,2.6954935987677167,4.381061975998684
2.867745008882612,8.435594031206122,4.339366145940038,9.036186599122924
4.242159669534104,8.39125423667501,12.493154036583922,6.383823259584593
4.980874664322177,10.932599808054167,5.050932029536439,4.717882523265342
5.533245290138264,14.776312007979396,5.705272383760581,5.875337244095109
4.775564739216365,10.329480330659187,5.869973198041793,5.013879368091267
5.366060097584953,8.341952563933797,3.108454395287666,4.418383982206196
7.328235031880437,13.250935827597102,4.3519164295204975,4.747497657286559
4.981351369876781,14.831606591288995,4.808085914212165,5.884845669569179
5.875646052727872,8.635733551111636,,
3.1351299686415826,6.820241726592226,,
2.54148996394768,6.310497260660082,,
3.01939511035149,12.42799922538331,,
3.741328059935499,9.854618394605442,,
6.164645902895142,10.004135109914053,,
