Sham,HS2W,HS6W,HS10W
3.5506052386057565,8.665280047697726,22.203513227608195,7.343128898398393
2.5490009710161474,13.893049336989929,25.373654620620837,9.168599081862864
2.155484566223378,7.729448357522832,30.51634637398784,8.493830523912438
1.7191130463851796,12.093494870897617,26.088122574690665,5.994132768225729
2.389251054596247,8.025649908563711,21.398758942767383,6.371833879307347
2.234228351932246,12.837475589056597,23.18048573900124,7.290042944926856
3.832699794779536,10.379551894820484,21.28464970970108,4.727628321377109
2.8193946454116188,11.918921136304036,18.47028725824958,3.657891564634888
2.87901821896326,7.505378883965021,19.2435951639744,5.909026993069388
3.2922750719222797,12.428089961937271,25.758264458030595,3.874036549840272
2.923136066834211,6.039111001485908,19.58385127896095,5.631420542034057
2.5372343443610657,6.258446165680084,26.681384219726368,5.953617083441341
3.389400108460804,7.542212911340427,2.81440158368777,9.849286429085904
3.779094529009594,8.187614080156424,4.406661464127385,3.325419024642409
2.968849563618342,10.50521891714253,3.659520329029261,4.366732332672759
2.537034552806577,6.838003395803044,6.309136182934587,2.5657105993863705
3.3693196131450978,13.904286727140995,4.078672047651544,3.5882832131427227
2.6187100728047072,11.389813998894189,3.5259767574210468,4.796117175284479
,7.728403365448947,15.343823731066882,5.68432588158339
,11.932842340698944,17.053270977359297,11.432112830906808
,7.960304627672259,19.89311878632584,9.666738664320595
,7.805583678509448,11.599025953415383,14.110103737201998
,5.701303972804302,19.18191199217555,8.435594031206122
,7.039499218276857,20.150618046774724,8.39125423667501
,9.442973155553096,20.169113780798007,10.932599808054167
,8.611862661588843,28.23833816631606,14.776312007979396
,9.599705243689986,23.256594523672025,10.329480330659187
,8.872921390247924,29.567056086513364,8.341952563933797
,12.172006356046772,34.83879633837193,13.250935827597102
,7.979079434354889,26.53010733167436,14.831606591288995
,,22.335713441240117,8.635733551111636
,,21.57889547552868,6.820241726592226
,,18.58759966439833,6.310497260660082
,,19.689432082981263,12.42799922538331
,,20.278267514933997,9.854618394605442
,,17.703015838041463,10.004135109914053
