Group,CVF_Percent
Sham10W,1.2642003367950465
Sham10W,1.2602653278603588
Sham10W,1.1922627941834525
Sham10W,1.0945498037722317
Sham10W,1.5946387228103105
Sham10W,1.4670520683891488
Sham10W,1.5234382787720218
Sham10W,1.7054771895672765
Sham10W,1.3899122908464043
Sham10W,1.6766003934819282
Sham10W,1.709333593360311
Sham10W,1.5076933380213304
Sham10W,1.171691872527255
Sham10W,1.5956368976799524
Sham10W,1.9538890448686463
Sham10W,1.874287135137986
Sham10W,2.16449523138398
Sham10W,1.8003668987479626
HFD10W,2.4153116563288552
HFD10W,2.4466302332906165
HFD10W,2.396852792857074
HFD10W,2.392259943527485
HFD10W,2.491916357129053
HFD10W,2.6549207423055066
HFD10W,2.766002920112047
HFD10W,1.988253071865045
HFD10W,3.359902659737556
HFD10W,4.7299220827841175
HFD10W,2.396512303706956
HFD10W,3.4668426803229866
HFD10W,2.040145086872676
HFD10W,2.379068564531888
HFD10W,2.2281785698480103
HFD10W,2.603876911327918
HFD10W,2.2661982329782635
HFD10W,1.3239783936120244
HFD10W,1.7923918298142103
HFD10W,1.9082538208165265
HFD10W,2.2254996886932927
HFD10W,1.639938354852196
HFD10W,2.429055220564281
HFD10W,2.1162512148230768
HFD10W,2.80613748560009
HFD10W,3.203345697393551
HFD10W,1.7056006324656583
HFD10W,2.3643508980020207
HFD10W,1.6852218495238511
HFD10W,1.7855959841835585
HFD10W,2.14241862653409
HFD10W,2.396767079477573
HFD10W,3.652011747628793
HFD10W,4.159018184178908
HFD10W,1.8861639983551792
HFD10W,2.059167160451671
SS10W,2.973048460433248
SS10W,6.19405841665314
SS10W,3.586900300731282
SS10W,4.268173217156792
SS10W,4.183086239549681
SS10W,3.326530622572012
SS10W,3.5106190145312834
SS10W,2.7297378355260813
SS10W,2.5552049332914035
SS10W,3.983458794143227
SS10W,2.3273036103401106
SS10W,1.9060296283376952
SS10W,2.4179338266019763
SS10W,4.6761541073614685
SS10W,3.896798627859875
SS10W,5.779161685966205
SS10W,4.218096439972021
SS10W,4.417272271575986
SS10W,4.052367621269955
SS10W,3.297460499545235
SS10W,2.913838320556665
SS10W,2.158765381322901
SS10W,2.996201085804028
SS10W,3.3711646568459748
SS10W,3.6239850702321865
SS10W,3.873162562947289
SS10W,4.623196544955805
SS10W,2.944245939180543
SS10W,4.547241020742319
SS10W,4.26535748000852
SS10W,3.0731450269137146
SS10W,3.6107341530875448
SS10W,2.3791545890454606
SS10W,3.69237551861629
SS10W,5.076406634132217
SS10W,2.871428508099412
HS10W,2.573725125060063
HS10W,8.369054288689608
HS10W,4.743224277932256
HS10W,4.38641959310613
HS10W,3.0299157945710364
HS10W,4.643633472121217
HS10W,2.836011239020132
HS10W,8.014913595512702
HS10W,3.684024558121296
HS10W,5.876955740953585
HS10W,5.154573133208104
HS10W,4.799102937147548
HS10W,6.868733986959836
HS10W,7.4096820270358545
HS10W,5.937915136867557
HS10W,3.5839375348577804
HS10W,1.938303911788377
HS10W,2.8104435057201576
HS10W,3.757954071674278
HS10W,10.5235200199601
HS10W,5.069057526506879
HS10W,5.401979823239416
HS10W,6.993527361416918
HS10W,12.568838328232289
HS10W,11.294830459153305
HS10W,6.904251582795092
HS10W,12.22803074269894
HS10W,8.940021388427494
HS10W,6.976702606864562
HS10W,7.2141462078569
HS10W,11.89430830691988
HS10W,7.8804140551260575
HS10W,9.582552928601547
HS10W,4.570962626599184
HS10W,8.224071717589117
HS10W,8.624202312511981
