Replicate,SHAM,SHAM10W
1,50.3,95.6
2,64.0,68.7
3,61.4,80.5
4,64.2,74.4
5,69.2,62.1
6,85.9,71.7
7,67.0,60.6
8,68.8,65.6
9,100.0,93.3
10,79.3,86.2
11,37.4,92.3
12,63.2,82.7
13,53.7,62.1
14,98.9,78.8
15,88.2,65.9
16,77.0,45.7
17,80.6,65.2
18,81.7,56.3
