ID,Filename,Tissue_Area_um2,Collagen_Area_um2,CVF_Percent,Group
1,001.jpg,218375.58265909916,22304.914865354425,10.214015044060163,HS2W
2,002.jpg,214048.0618282816,12817.691100108685,5.988230395840526,HS2W
3,003.jpg,213255.11411665255,22565.75292839029,10.58157644746874,HS2W
4,004.jpg,220689.54232580605,10466.670691945415,4.742712582408355,HS2W
5,005.jpg,223328.4627460452,11369.38775510204,5.09088166161363,HS2W
6,006.jpg,220404.25069436055,13301.871754619007,6.035215615267332,HS2W
7,007.jpg,211804.2023910156,13822.135007849294,6.525902154826937,HS2W
8,008.jpg,218665.8736867528,19241.48049752445,8.799489455354431,HS2W
9,009.jpg,219380.6786619973,12049.740369520589,5.492616962903001,HS2W
10,010.jpg,212504.33522521437,25485.07426639295,11.9927314609293,HS2W
11,011.jpg,204106.2190556696,19251.370607414563,9.432035288529738,HS2W
12,012.jpg,216201.3887211689,13366.103127641589,6.182246657480824,HS2W
13,013.jpg,203647.47011230528,20053.88238135491,9.847351587670504,HS2W
14,014.jpg,218225.9268204323,14006.569254920903,6.418380005986292,HS2W
15,015.jpg,216623.1856056032,13524.018838304552,6.243107726671129,HS2W
16,016.jpg,216696.8723584108,9727.303465765004,4.488898875142187,HS2W
17,017.jpg,220110.2644608139,12675.969085859197,5.758917748297872,HS2W
18,018.jpg,221837.22980316388,17527.12232822123,7.900893075419776,HS2W
19,019.jpg,221844.40284989736,15512.909068953024,6.9926979764503,HS2W
20,020.jpg,212592.15070643643,16769.38775510204,7.888055932158333,HS2W
21,021.jpg,214727.6536650163,15688.322666344644,7.3061491608430895,HS2W
22,022.jpg,211230.2499698104,20760.970897234634,9.828597419262556,HS2W
23,023.jpg,216946.73348629396,13547.602946504045,6.244667863302927,HS2W
24,024.jpg,228463.71211206372,6537.688684941432,2.861587349913421,Sham
25,025.jpg,228983.2145876102,4635.961840357445,2.024585884474821,Sham
26,026.jpg,227486.22147083684,3791.0638811737713,1.6665026376816303,Sham
27,027.jpg,230434.56104335224,3075.498128245381,1.33465141440601,Sham
28,028.jpg,233863.82079459,4460.330877913296,1.907234245450452,Sham
29,029.jpg,231582.6832508151,4087.875860403333,1.7651906450949824,Sham
30,030.jpg,219117.5582659099,6616.918246588576,3.0198028396056795,Sham
31,031.jpg,229972.00821156864,5057.976089844222,2.1993877120866845,Sham
32,032.jpg,228265.5838666828,5194.155295254196,2.2754877048341258,Sham
33,033.jpg,225789.9046008936,5974.495833836493,2.646042055953305,Sham
34,034.jpg,228762.37169423985,5325.661152034779,2.3280319716010696,Sham
35,035.jpg,227554.47409733123,4404.685424465644,1.9356619736607068,Sham
36,036.jpg,228941.8065451033,6200.338123415047,2.708259455528291,Sham
37,037.jpg,224049.35394276053,6821.1327134404055,3.0444777426954994,Sham
38,038.jpg,228559.89614780823,5301.424948677696,2.3194904434368917,Sham
39,039.jpg,228246.5644245864,4548.472406714165,1.9927889903538936,Sham
40,040.jpg,228326.66344644365,6141.214829126917,2.6896617050454124,Sham
41,041.jpg,225760.0169061708,4659.437266030673,2.06388949198529,Sham
42,042.jpg,197649.82490037437,37382.11568651129,18.913305744315124,HS6W
43,043.jpg,199352.0106267359,43274.77357807028,21.707718644030837,HS6W
44,044.jpg,189778.7103006883,50533.570824779614,26.627628960442102,HS6W
45,045.jpg,194457.0583262891,43112.51056635672,22.170710046439204,HS6W
46,046.jpg,201977.6717787707,36341.58918005072,17.992874588561566,HS6W
47,047.jpg,191026.2770196836,37437.761139958944,19.59822581691277,HS6W
48,048.jpg,198160.74145634583,36466.35672020287,18.402412330616094,HS6W
49,049.jpg,201241.45634585197,31060.487863784565,15.434438026727584,HS6W
50,050.jpg,204930.03260475787,33694.62625286801,16.442014781627336,HS6W
51,051.jpg,191961.707523246,43293.57565511412,22.553235337246303,HS6W
52,052.jpg,196082.8402366864,32743.32810047096,16.698721857020917,HS6W
53,053.jpg,199666.7552227992,45528.52312522642,22.80225522492374,HS6W
54,054.jpg,215234.44028498972,4641.287284144427,2.1563869044372943,HS6W
55,055.jpg,207554.06351889868,6818.850380388842,3.2853369694532417,HS6W
56,056.jpg,220609.6606690013,6328.14877430262,2.8684821666977034,HS6W
57,057.jpg,198833.5949764521,10453.628788793623,5.257476127226714,HS6W
58,058.jpg,219199.8309382925,7444.644366622389,3.3962819837749554,HS6W
59,059.jpg,214016.4352131385,5746.588576258906,2.68511554756806,HS6W
60,060.jpg,221029.39258543652,28293.43074507909,12.800754874328568,HS6W
61,061.jpg,215599.1788431349,30890.72575775873,14.32784944892305,HS6W
62,062.jpg,206308.0183552711,35068.264702330634,16.998013447030257,HS6W
63,063.jpg,216281.27037797368,20026.494384736143,9.259467705982026,HS6W
64,064.jpg,205083.05760173887,33669.84663687961,16.417663667890483,HS6W
65,065.jpg,207706.8711508272,35841.75824175824,17.255932864990108,HS6W
66,066.jpg,207688.17775630963,35999.13053978988,17.33325937407442,HS6W
67,067.jpg,189470.48665620093,46504.92694119068,24.544681212317283,HS6W
68,068.jpg,196201.08682526264,39516.20577224973,20.14066609500639,HS6W
69,069.jpg,194176.54872599928,49908.86366380872,25.702827654144087,HS6W
70,070.jpg,194536.93998309385,60167.6246830093,30.928637351979603,HS6W
71,071.jpg,199745.33268928877,45424.51394759087,22.74121419309976,HS6W
72,072.jpg,201397.1984059896,37970.196836130905,18.853388794211572,HS6W
73,073.jpg,200461.76790242724,36083.46818017148,18.000174575799782,HS6W
74,074.jpg,211065.59594251905,32823.53580485449,15.551343485554868,HS6W
75,075.jpg,209683.04552590268,34971.53725395483,16.678285631650994,HS6W
76,076.jpg,210563.7000362275,35973.04673348629,17.08416347513704,HS6W
77,077.jpg,198111.3995894216,29074.858108924043,14.676014691320436,HS6W
78,078.jpg,222952.20384011592,10545.4655234875,4.7299220827841175,HFD10W
79,079.jpg,225069.1220867045,8219.550778891438,3.652011747628793,HFD10W
80,080.jpg,231025.79398623356,9608.404782031155,4.159018184178908,HFD10W
81,081.jpg,232321.833111943,4381.970776476271,1.8861639983551792,HFD10W
82,082.jpg,230480.09902185728,6467.588455500543,2.80613748560009,HFD10W
83,083.jpg,233104.1299359981,5511.399589421568,2.3643508980020207,HFD10W
84,084.jpg,222850.0422654269,5413.150585678058,2.429055220564281,HFD10W
85,085.jpg,230322.8354063519,3777.1525178118586,1.639938354852196,HFD10W
86,086.jpg,230928.08839512136,4887.018476029465,2.1162512148230768,HFD10W
87,087.jpg,233311.7135611641,4452.179688443424,1.9082538208165265,HFD10W
88,088.jpg,231785.1587972467,4154.498249003744,1.7923918298142103,HFD10W
89,089.jpg,229534.0176307209,3038.98079942036,1.3239783936120244,HFD10W
90,090.jpg,220597.59690858595,4999.178843134887,2.2661982329782635,HFD10W
91,091.jpg,224854.9088274363,5854.945054945055,2.603876911327918,HFD10W
92,092.jpg,225932.27871030068,5034.174616592199,2.2281785698480103,HFD10W
93,093.jpg,226924.76754015216,5398.69580968482,2.379068564531888,HFD10W
94,094.jpg,224695.79760898443,4584.120275329066,2.040145086872676,HFD10W
95,095.jpg,229544.55983576865,5108.513464557421,2.2254996886932927,HFD10W
96,096.jpg,224967.93865475184,5391.957493056394,2.396767079477573,HFD10W
97,097.jpg,227254.1842772612,4679.543533389688,2.059167160451671,HFD10W
98,098.jpg,229672.696534235,4101.026446081391,1.7855959841835585,HFD10W
99,099.jpg,228686.94602101197,3853.882381354909,1.6852218495238511,HFD10W
100,100.jpg,227306.0258422896,4869.846636879604,2.14241862653409,HFD10W
101,101.jpg,230402.28233305155,3929.74278468784,1.7056006324656583,HFD10W
102,102.jpg,226142.4707160971,7244.125105663567,3.203345697393551,HFD10W
103,103.jpg,229449.7886728656,5498.792416374834,2.396512303706956,HFD10W
104,104.jpg,227886.2818500181,7900.458881777563,3.4668426803229866,HFD10W
105,105.jpg,224733.5104455984,7550.827194783239,3.359902659737556,HFD10W
106,106.jpg,229341.10614660065,6343.581693032243,2.766002920112047,HFD10W
107,107.jpg,229220.79459002533,5536.396570462504,2.4153116563288552,HFD10W
108,108.jpg,226015.63820794589,5529.766936360343,2.4466302332906165,HFD10W
109,109.jpg,225431.46962927183,5403.260475787948,2.396852792857074,HFD10W
110,110.jpg,228209.72104818255,4537.38678903514,1.988253071865045,HFD10W
111,111.jpg,225502.00458881777,5619.321338002656,2.491916357129053,HFD10W
112,112.jpg,222979.80920178723,5919.937205651491,2.6549207423055066,HFD10W
113,113.jpg,225091.94541722012,5384.784446322908,2.392259943527485,HFD10W
114,114.jpg,209193.9741577104,12421.760656925491,5.937915136867557,HS10W
115,115.jpg,211296.11158072692,15656.370003622753,7.4096820270358545,HS10W
116,116.jpg,217145.6225093588,14915.155174495834,6.868733986959836,HS10W
117,117.jpg,213424.44149257336,10242.458640260838,4.799102937147548,HS10W
118,118.jpg,215462.23886004105,11106.158676488349,5.154573133208104,HS10W
119,119.jpg,210489.1438232097,12370.353822002173,5.876955740953585,HS10W
120,120.jpg,212849.9456587369,7841.444270015699,3.684024558121296,HS10W
121,121.jpg,223108.70667793744,6327.387996618766,2.836011239020132,HS10W
122,122.jpg,217592.851104939,10104.214466851829,4.643633472121217,HS10W
123,123.jpg,226230.9382924768,6854.606931530008,3.0299157945710364,HS10W
124,124.jpg,214707.98212776237,9417.992996014977,4.38641959310613,HS10W
125,125.jpg,223493.2254558628,10600.784929356358,4.743224277932256,HS10W
126,126.jpg,207374.6286680353,17355.295254196353,8.369054288689608,HS10W
127,127.jpg,218042.79676367587,5611.822243690375,2.573725125060063,HS10W
128,128.jpg,224097.93503200097,8031.530008453085,3.5839375348577804,HS10W
129,129.jpg,225517.32882502116,4371.211206376041,1.938303911788377,HS10W
130,130.jpg,222574.53206134523,6255.331481705108,2.8104435057201576,HS10W
131,131.jpg,222616.8095640623,8365.837459244052,3.757954071674278,HS10W
132,132.jpg,219523.3788189832,10034.33160246347,4.570962626599184,HS10W
133,133.jpg,210579.24163748336,20178.867286559595,9.582552928601547,HS10W
134,134.jpg,209451.11701485328,16505.61526385702,7.8804140551260575,HS10W
135,135.jpg,202784.42217123532,24119.804371452723,11.89430830691988,HS10W
136,136.jpg,212291.2087912088,15314.998188624562,7.2141462078569,HS10W
137,137.jpg,218835.5271102524,15267.503924646782,6.976702606864562,HS10W
138,138.jpg,191059.5338727207,17080.763192851104,8.940021388427494,HS10W
139,139.jpg,197378.9880449221,24135.56333776114,12.22803074269894,HS10W
140,140.jpg,213754.51032484,18434.62142253351,8.624202312511981,HS10W
141,141.jpg,211041.68578674077,14570.848931288492,6.904251582795092,HS10W
142,142.jpg,196453.23028619733,22189.059292356,11.294830459153305,HS10W
143,143.jpg,210751.17739403452,26488.974761502235,12.568838328232289,HS10W
144,144.jpg,206227.91933341385,14422.605965463108,6.993527361416918,HS10W
145,145.jpg,215913.27134404055,11663.591353701244,5.401979823239416,HS10W
146,146.jpg,216365.60801835527,10967.697138026808,5.069057526506879,HS10W
147,147.jpg,216057.16700881536,22736.819224731316,10.5235200199601,HS10W
148,148.jpg,213756.3579277865,17132.387392826953,8.014913595512702,HS10W
149,149.jpg,218560.4516362758,17974.568288854003,8.224071717589117,HS10W
150,150.jpg,229314.1528800869,3656.7322787103008,1.5946387228103105,Sham10W
151,151.jpg,224832.628909552,3769.544740973312,1.6766003934819282,Sham10W
152,152.jpg,230373.5901461176,3379.7005192609586,1.4670520683891488,Sham10W
153,153.jpg,228959.5217968844,3488.056997947108,1.5234382787720218,Sham10W
154,154.jpg,221758.6523366743,3782.0432314937807,1.7054771895672765,Sham10W
155,155.jpg,230241.649559232,3200.1569858712714,1.3899122908464043,Sham10W
156,156.jpg,231525.0815118947,4168.300929839392,1.8003668987479626,Sham10W
157,157.jpg,231832.0009660669,3962.782272672383,1.709333593360311,Sham10W
158,158.jpg,233686.12486414684,3523.27013645695,1.5076933380213304,Sham10W
159,159.jpg,234841.9635309745,2751.624199975848,1.171691872527255,Sham10W
160,160.jpg,233850.0181137544,3731.397174254317,1.5956368976799524,Sham10W
161,161.jpg,231483.56478686148,4522.932013041903,1.9538890448686463,Sham10W
162,162.jpg,230784.51877792535,4325.564545344765,1.874287135137986,Sham10W
163,163.jpg,230726.8083564787,4994.070764400435,2.16449523138398,Sham10W
164,164.jpg,232842.0963651733,2934.428209153484,1.2602653278603588,Sham10W
165,165.jpg,231825.04528438597,2930.733003260476,1.2642003367950465,Sham10W
166,166.jpg,235168.55452240063,2574.03695205893,1.0945498037722317,Sham10W
167,167.jpg,233406.2673590146,2782.816085013887,1.1922627941834525,Sham10W
168,168.jpg,209867.47977297427,11299.504890713682,5.384114252926183,HS10WGaE9
169,169.jpg,213182.07945900253,8932.07342108441,4.189880051715207,HS10WGaE9
170,170.jpg,206004.90278951815,10929.114841202752,5.305269288842791,HS10WGaE9
171,171.jpg,213306.7383166284,10677.406110373144,5.005658140308633,HS10WGaE9
172,172.jpg,207890.54462021496,13310.457674193938,6.402627737836832,HS10WGaE9
173,173.jpg,215221.72442941676,8170.969689651009,3.796535740670885,HS10WGaE9
174,174.jpg,198801.533631204,28551.00833232701,14.36156341997436,HS10WGaE9
175,175.jpg,209782.27267238256,18649.92150706436,8.890132264030711,HS10WGaE9
176,176.jpg,202832.5685303707,32210.566356720203,15.8803719689115,HS10WGaE9
177,177.jpg,203425.86644125104,23116.77333655356,11.36373350201737,HS10WGaE9
