Sham,Sham10W
3.5506052386057565,2.096192886848041
2.5490009710161474,2.1963609720356576
2.155484566223378,1.9350998312235883
1.7191130463851796,1.984165016590217
2.389251054596247,2.25507309622518
2.234228351932246,1.8158827947482008
3.832699794779536,2.2974041849428346
2.8193946454116188,2.242562950667675
2.87901821896326,1.9387818568777
3.2922750719222797,1.5877691093728878
2.923136066834211,2.093361090882916
2.5372343443610657,2.538135354932065
3.389400108460804,2.408544827618917
3.779094529009594,2.7879519580581404
2.968849563618342,1.6778354742760249
2.537034552806577,1.688133887880274
3.3693196131450978,1.4563467480758354
2.6187100728047072,1.582715815727562
